,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,38.59,38.69,38.14,38.59,1628811,ABC,0.0,,,,,,,,,,,,,,,,,,,,,,,38.473333333333336,38.80666666666667,39.023333333333326,39.35666666666667,38.256666666666675,37.92333333333334,37.70666666666668,,,,,,,,,0.8181818181818276,0.0,0.0,
1,2012-08-14,38.69,38.77,38.18,38.29,2322891,ABC,-0.0,,,,,,,,,,,,,,,,,,,-0.30000000000000426,,,,38.413333333333334,38.64666666666667,39.00333333333334,39.23666666666667,38.056666666666665,37.82333333333333,37.46666666666666,,,,,,,,,0.18644067796609964,,,
2,2012-08-15,38.36,38.51,37.93,38.02,2724787,ABC,-0.0,,,,,,,,,,,-624706.3200000003,,,,,,,,-0.269999999999996,,,,38.153333333333336,38.37666666666667,38.73333333333333,38.95666666666667,37.796666666666674,37.57333333333334,37.216666666666676,,,,,,,,,0.15517241379310978,,,
3,2012-08-16,37.51,37.7,37.17,37.58,5691501,ABC,0.0,,,,,,,,,37.95723076923076,,-2391713.100000003,,,,,,,,-0.44000000000000483,,,,37.483333333333334,37.79666666666667,38.013333333333335,38.32666666666667,37.266666666666666,36.95333333333333,36.736666666666665,,,,,,,0.49942520895621173,,0.7735849056603693,,,
4,2012-08-17,37.23,37.74,36.91,37.54,5939986,ABC,0.0,,,0.047670013171067435,0.24388005539879476,,,,,37.7970616113744,,-1543295.5200000128,,38.004000000000005,,,,,,-0.03999999999999915,,-3335833.0,,37.39666666666667,37.88333333333334,38.226666666666674,38.713333333333345,37.053333333333335,36.56666666666666,36.22333333333333,-0.027209121534076293,,0.03038313128551216,,0.4529127951383118,,0.5990862790291503,,0.7590361445783114,,,
5,2012-08-20,37.4,37.82,37.38,37.71,2482356,ABC,0.0,,,0.033799346830449536,0.4077087943840695,,,,,37.765248120300754,,-417188.8500000082,,37.828,,,,,,0.1700000000000017,,-2839361.8,,37.63666666666666,37.893333333333324,38.07666666666666,38.33333333333332,37.453333333333326,37.196666666666665,37.01333333333333,-0.01514755810916684,,0.1317277293182342,,0.3196404229755613,,0.6542321951132354,,0.75,,,
6,2012-08-21,37.68,38.06,37.5,37.56,2310706,ABC,-0.0,,,0.02126211722698941,0.3477282365958391,,,,,37.69257892180671,,-72585.60000001134,,37.682,,,,,,-0.14999999999999858,,-2836924.8,,37.70666666666667,37.91333333333334,38.26666666666668,38.47333333333334,37.35333333333334,37.14666666666667,36.79333333333334,-0.012098895318253573,,0.39660785958299366,,0.20029977533685375,,0.4605322789498536,,0.10714285714286077,,,
7,2012-08-22,37.58,38.07,37.42,37.92,2870572,ABC,0.0,,,0.016866662444779548,0.90615066955002,,,,,37.77146391752578,,81525.36000000034,,37.662000000000006,,,,,,0.35999999999999943,,-1717853.0,,37.803333333333335,38.18666666666667,38.45333333333333,38.836666666666666,37.53666666666667,37.153333333333336,36.88666666666667,0.009047365620010735,,0.3471816811625842,,0.15880806024882185,,0.5676097727237419,,0.7692307692307709,,,
8,2012-08-23,37.82,38.15,37.76,37.98,2100756,ABC,0.0,,,0.02141270733705508,0.7944967223098675,,,,-111351.25910550315,37.842832403108865,,-88178.99999999886,,37.742000000000004,,,,,,0.05999999999999517,,-159401.6,,37.96333333333333,38.166666666666664,38.35333333333333,38.556666666666665,37.776666666666664,37.57333333333333,37.38666666666666,0.011720831113478896,,0.4441597903807669,,0.20203960007878324,,0.5664094808368517,,0.5641025641025603,,,
9,2012-08-24,37.89,38.26,37.82,38.1,2098671,ABC,0.0,,,0.0229036511246637,0.7837387228336141,,,,-66703.35748068104,37.93006772942697,,-138942.1799999998,,37.854000000000006,,,,,,0.12000000000000455,,1448329.8,,38.06,38.300000000000004,38.49999999999999,38.74,37.86000000000001,37.620000000000005,37.42000000000001,0.010342084327764534,,0.5677639528958429,,0.21674870241825497,,0.590139039531101,,0.6363636363636422,,,
