,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,31.72,31.95,31.39,31.56,473127,AVY,-0.0,,,,,,,,,,,,,,,,,,,,,,,31.633333333333336,31.876666666666672,32.193333333333335,32.43666666666667,31.316666666666674,31.073333333333338,30.756666666666675,,,,,,,,,0.30357142857142594,0.0,0.0,
1,2012-08-14,31.77,31.81,31.36,31.46,470102,AVY,-0.0,,,,,,,,,,,,,,,,,,,-0.09999999999999787,,,,31.543333333333333,31.726666666666667,31.993333333333332,32.17666666666666,31.276666666666667,31.093333333333334,30.826666666666668,,,,,,,,,0.22222222222222573,,,
2,2012-08-15,31.29,31.51,31.22,31.29,534844,AVY,-0.0,,,,,,,,,,,-16663.589999999975,,,,,,,,-0.1700000000000017,,,,31.340000000000003,31.460000000000008,31.63000000000001,31.75000000000001,31.170000000000005,31.05,30.880000000000003,,,,,,,,,0.24137931034482632,,,
3,2012-08-16,31.25,31.96,31.25,31.84,557604,AVY,0.0,,,,,,,,,31.583076923076923,,33250.759999999915,,,,,,,,0.5500000000000007,,,,31.683333333333334,32.11666666666667,32.39333333333333,32.82666666666667,31.406666666666666,30.973333333333333,30.696666666666665,,,,,,,0.4904105446116125,,0.8309859154929565,,,
4,2012-08-17,31.91,32.12,31.83,32.04,608983,AVY,0.0,,,0.03799644226565397,0.8344060279015615,,,,,31.758483412322274,,55604.25,,31.637999999999998,,,,,,0.1999999999999993,,32328.2,,31.996666666666666,32.163333333333334,32.28666666666666,32.45333333333333,31.873333333333335,31.706666666666667,31.583333333333336,0.015209125475285185,,0.8539145723446044,,0.30053286010019004,,0.580135275892432,,0.7241379310344879,,,
5,2012-08-20,31.94,32.23,31.78,31.96,479532,AVY,-0.0,,,0.041198092165398534,0.6851963684917951,,,,,31.832120300751885,,-9368.640000000078,,31.718,,,,,,-0.0799999999999983,,-63578.2,,31.99,32.199999999999996,32.44,32.64999999999999,31.75,31.540000000000003,31.300000000000004,0.01589319771137953,,0.8852568216342662,,0.32668027182552767,,0.5143114081603114,,0.40000000000000313,,,
6,2012-08-21,32.07,32.26,31.73,31.89,630536,AVY,-0.0,,,0.037358238137522724,0.5723819568828726,,,,,31.85261291889267,,-3232.9499999999694,,31.804000000000002,,,,,,-0.07000000000000028,,-95665.0,,31.959999999999997,32.19,32.489999999999995,32.71999999999999,31.659999999999997,31.43,31.13,0.019175455417066202,,0.7789118563627493,,0.2970353514314432,,0.43910133295353504,,0.30188679245283184,,,
7,2012-08-22,31.82,31.84,31.51,31.61,498745,AVY,-0.0,,,0.020421242073570593,0.10355518336953022,,,,,31.768458366375896,,-6724.5500000000275,,31.868000000000002,,,,,,-0.28000000000000114,,-88445.2,,31.653333333333336,31.79666666666667,31.983333333333338,32.126666666666665,31.466666666666672,31.323333333333338,31.136666666666674,-0.007223618090452274,,0.4476519632506051,,0.16269603560013693,,0.3919027060792894,,0.30303030303029815,,,
8,2012-08-23,31.59,31.59,31.18,31.33,547955,AVY,-0.0,,,0.036847703987892645,0.1275109366698183,,,,-50550.064838649545,31.61840227426843,,46245.36000000019,,31.766000000000002,,,,,,-0.28000000000000114,,-309557.0,,31.366666666666664,31.553333333333327,31.776666666666664,31.963333333333328,31.143333333333327,30.956666666666663,30.733333333333327,-0.022159800249687917,,0.2364651025888258,,0.2926260412198495,,0.38298779288082796,,0.36585365853658175,,,
9,2012-08-24,31.29,31.59,31.2,31.5,518606,AVY,0.0,,,0.033422001435312126,0.3506720308816429,,,,84558.05930409301,31.57823834554072,,-2184.7099999999887,,31.658000000000005,,,,,,0.1700000000000017,,-327632.4,,31.429999999999996,31.659999999999993,31.819999999999997,32.05,31.269999999999992,31.039999999999996,30.879999999999992,-0.014392991239048837,,0.23646510258882578,,0.26451843035977785,,0.514007534431813,,0.7692307692307699,,,
10,2012-08-27,31.59,31.64,31.0,31.02,543336,AVY,-0.0,,,0.04113772439194722,0.1524034105151729,,,,-102748.743393223,31.389982467061493,,1431.8899999999942,,31.470000000000006,,,,,,-0.4800000000000004,,-340393.2,,31.22,31.439999999999998,31.86,32.08,30.799999999999997,30.58,30.159999999999997,-0.027281279397930416,,0.15154128691410543,0.27823205871905443,0.3236510466536448,,0.351206206893311,,0.031249999999999306,-0.0017969004612852254,,
11,2012-08-28,31.01,31.23,30.86,31.07,413863,AVY,0.0,,,0.03308011571981029,0.27211412777584426,,,,1326.1778299396829,31.28249318757171,,45039.48999999997,,31.306000000000004,,,,,,0.05000000000000071,,-131513.4,,31.05333333333333,31.246666666666663,31.423333333333332,31.616666666666664,30.87666666666666,30.68333333333333,30.50666666666666,-0.017083201518506775,,0.11209038887119831,0.2344014896184445,0.25890152568109526,,0.4238868352473537,,0.5675675675675683,-0.0022095719051922354,,
12,2012-08-29,31.08,31.72,31.05,31.37,535591,AVY,-0.0,,,0.02624732570629117,0.6365122973256676,,,,19035.147102236595,31.31181277586782,,-2710.750000000011,,31.258000000000003,,,,,,0.3000000000000007,,75353.8,,31.38,31.709999999999997,32.05,32.379999999999995,31.04,30.71,30.37,0.001276731567188085,,0.609816740752771,0.5364535958201808,0.20510972673181235,,0.44188769618096585,,0.47761194029850923,-0.0019806399706322263,,
13,2012-08-30,31.17,31.19,30.77,31.0,435913,AVY,0.0,,0.4924122823862685,0.029234328825113183,0.2894453296795104,,,,44496.30001728104,31.207517923209178,,-1543.5000000000064,,31.192000000000007,,,,,0.2857142857142857,-0.370000000000001,,97762.2,,30.986666666666668,31.203333333333337,31.40666666666667,31.62333333333334,30.783333333333335,30.566666666666666,30.363333333333333,-0.015873015873015872,,0.4210139675551567,0.4235930322052645,0.22796929617823267,,0.47725262210147607,,0.5476190476190465,-0.00204198438034678,,
14,2012-08-31,31.12,31.42,30.85,31.23,712701,AVY,0.0,,0.5041266121451555,0.02029918250382457,0.6455521298607723,,,,111197.92756615832,31.21502910177109,,-24795.4000000001,,31.138000000000005,,,,,0.35714285714285715,0.23000000000000043,,136581.2,,31.166666666666668,31.483333333333334,31.73666666666667,32.053333333333335,30.913333333333334,30.596666666666668,30.343333333333334,0.006769825918762117,,0.5730338293414269,0.5213501620390618,0.1580189862010224,,0.5405351526301274,,0.6666666666666646,-0.0018042163372668804,,
15,2012-09-04,31.01,31.25,28.91,29.6,2486379,AVY,-0.0,,0.7765029848639751,0.09276757835355587,0.06188326592181422,,,,-262601.1733324316,30.675865223818285,,-2870652.399999997,,30.854000000000003,,,,,0.35714285714285715,-1.629999999999999,,-252027.4,,29.919999999999998,30.929999999999996,32.260000000000005,33.269999999999996,28.589999999999996,27.58,26.249999999999996,-0.04731252011586736,,0.13974671250305024,0.19376643208823002,0.7155627156301533,,0.45852250747429857,,0.29487179487179543,-0.0034486097742458606,,
