,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,73.71,74.43,73.6,74.19,2379856,BA,0.0,,,,,,,,,,,,,,,,,,,,,,,74.07333333333334,74.54666666666668,74.90333333333334,75.3766666666667,73.71666666666667,73.24333333333333,72.88666666666666,,,,,,,,,0.7108433734939693,0.0,0.0,
1,2012-08-14,74.3,74.44,73.6,73.81,2617880,BA,-0.0,,,,,,,,,,,,,,,,,,,-0.37999999999999545,,,,73.95,74.30000000000001,74.78999999999999,75.14000000000001,73.46000000000001,73.11,72.62,,,,,,,,,0.25000000000000844,,,
2,2012-08-15,73.34,73.65,72.75,73.07,3278123,BA,-0.0,,,,,,,,,,,-1006059.0400000041,,,,,,,,-0.7400000000000091,,,,73.15666666666667,73.56333333333333,74.05666666666667,74.46333333333334,72.66333333333333,72.25666666666666,71.76333333333332,,,,,,,,,0.35555555555554574,,,
3,2012-08-16,73.1,73.75,73.02,73.64,2802732,BA,0.0,,,,,,,,,73.58123076923074,,-31424.840000000317,,,,,,,,0.5700000000000074,,,,73.46999999999998,73.91999999999997,74.19999999999997,74.64999999999998,73.18999999999997,72.73999999999998,72.45999999999997,,,,,,,0.5848962128810274,,0.8493150684931523,,,
4,2012-08-17,73.69,73.98,73.4,73.91,3235758,BA,0.0,,,0.02259830197046176,0.6116421640432126,,,,,73.70744075829383,,-35586.600000000144,,73.724,,,,,,0.269999999999996,,28497.4,,73.76333333333334,74.12666666666667,74.34333333333333,74.70666666666666,73.54666666666667,73.18333333333334,72.96666666666667,-0.003774093543604275,,0.41296025888945787,,0.41650930361758076,,0.6979177516851515,,0.8793103448275731,,,
5,2012-08-20,73.61,74.0,73.34,73.83,2481972,BA,0.0,,,0.018458824340409963,0.630927664472025,,,,,73.75222556390978,,-60944.399999999274,,73.652,,,,,,-0.0799999999999983,,-467897.0,,73.72333333333334,74.10666666666668,74.38333333333335,74.76666666666668,73.44666666666669,73.06333333333335,72.78666666666669,0.00027096599376772823,,0.37079822254980205,,0.33988233257996864,,0.7141810257446976,,0.7424242424242385,,,
6,2012-08-21,74.09,74.36,73.12,73.27,3136740,BA,-0.0,,,0.01969910783159815,0.31087159577270534,,,,,73.58149101505585,,63371.520000000055,,73.544,,,,,,-0.5600000000000023,,-571669.0,,73.58333333333333,74.04666666666665,74.82333333333332,75.28666666666665,72.80666666666666,72.34333333333333,71.56666666666666,0.0027371014096072652,,0.6612852397873565,,0.36218779659176353,,0.5041506790244833,,0.12096774193547749,,,
7,2012-08-22,73.34,73.6,72.55,72.8,4245048,BA,-0.0,,,0.024927729808255413,0.12334987607567639,,,,,73.31041712926249,,-1815968.280000002,,73.49,,,,,,-0.46999999999999886,,-765054.0,,72.98333333333333,73.41666666666667,74.03333333333332,74.46666666666667,72.36666666666667,71.93333333333334,71.31666666666668,-0.011406844106463924,,0.32682197409142516,,0.45798471590217255,,0.4118646759614765,,0.23809523809523875,,,
8,2012-08-23,72.09,72.15,70.02,70.36,9433833,BA,-0.0,,,0.07987762785274838,0.07475386559277267,,,,-2211531.758113102,72.30067915080069,,-18324540.62999998,,72.834,,,,,,-2.4399999999999977,,-3212367.0,,70.84333333333335,71.6666666666667,72.97333333333334,73.79666666666671,69.53666666666669,68.71333333333334,67.40666666666668,-0.04803138952780405,,0.07888686975944623,,1.454451786756769,,0.32553906100475266,,0.1596244131455408,,,
9,2012-08-24,70.32,71.17,70.05,71.09,5351394,BA,0.0,,,0.08188418223613252,0.3006005590164899,,,,717839.6164921597,71.88999758724688,,-1891851.6599999932,,72.27000000000001,,,,,,0.730000000000004,,-2789239.8,,70.77,71.49,71.89,72.61,70.36999999999999,69.64999999999999,69.24999999999999,-0.037112284979005754,,0.07888686975944621,,1.4794424625513245,,0.5300972013031571,,0.9285714285714304,,,
