,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,44.91,45.16,44.69,44.69,917180,DPS,-0.0,,,,,,,,,,,,,,,,,,,,,,,44.846666666666664,45.00333333333333,45.31666666666666,45.47333333333333,44.53333333333333,44.376666666666665,44.06333333333333,,,,,,,,,0.0,0.0,0.0,
1,2012-08-14,44.85,45.06,44.82,44.97,978687,DPS,0.0,,,,,,,,,,,,,,,,,,,0.28000000000000114,,,,44.949999999999996,45.07999999999999,45.18999999999999,45.31999999999999,44.83999999999999,44.709999999999994,44.59999999999999,,,,,,,,,0.6249999999999889,,,
2,2012-08-15,45.01,45.23,44.88,45.04,759582,DPS,-0.0,,,,,,,,,,,-55159.30000000022,,,,,,,,0.07000000000000028,,,,45.050000000000004,45.220000000000006,45.4,45.57,44.87000000000001,44.70000000000001,44.52000000000002,,,,,,,,,0.4571428571428548,,,
3,2012-08-16,44.9,45.13,44.79,44.91,1290944,DPS,-0.0,,,,,,,,,44.92999999999999,,-18735.42000000071,,,,,,,,-0.13000000000000256,,,,44.94333333333333,45.09666666666666,45.283333333333324,45.43666666666666,44.75666666666665,44.603333333333325,44.41666666666665,,,,,,,0.3885843568196436,,0.35294117647057716,,,
4,2012-08-17,44.97,45.17,44.87,45.16,1443739,DPS,0.0,,,0.015521819408957336,0.795227122001963,,,,,45.01829383886255,,82098.83999999825,,44.95399999999999,,,,,,0.25,,378212.8,,45.06666666666666,45.26333333333333,45.36666666666667,45.56333333333333,44.963333333333324,44.76666666666666,44.66333333333332,0.01051689415976726,,0.6634615384615237,,0.17444196742756699,,0.6105022103628072,,0.9666666666666501,,,
5,2012-08-20,45.05,45.43,44.89,45.43,701464,DPS,0.0,,,0.018233931318381035,0.8988391008183751,,,,,45.16873684210526,,-306529.60000000184,,45.102,,,,,,0.2700000000000031,,518505.6,,45.25,45.61,45.790000000000006,46.15,45.07,44.71,44.53,0.01022904158327776,,0.8841741432563559,,0.20559669258040533,,0.7528299740948943,,1.0,,,
6,2012-08-21,45.45,45.54,45.17,45.32,1210003,DPS,-0.0,,,0.01850470933795932,0.6770557878287623,,,,,45.22229237493929,,-37397.76000000086,,45.172,,,,,,-0.10999999999999943,,80767.6,,45.343333333333334,45.516666666666666,45.713333333333324,45.88666666666666,45.14666666666667,44.973333333333336,44.77666666666667,0.006216696269982263,,0.9165792735246411,,0.2089736825535746,,0.629822441032904,,0.4054054054054044,,,
7,2012-08-22,45.19,45.42,45.07,45.33,717721,DPS,0.0,,,0.017983373343058457,0.6229425599012153,,,,,45.25965265662173,,-1625.700000000023,,45.230000000000004,,,,,,0.00999999999999801,,72395.4,,45.27333333333333,45.47666666666667,45.62333333333333,45.82666666666667,45.126666666666665,44.92333333333333,44.776666666666664,0.00935203740814967,,0.6759051673631932,,0.20334699407663354,,0.6690305128631325,,0.7428571428571341,,,
8,2012-08-23,45.21,45.23,44.59,44.67,1547272,DPS,-0.0,,,0.026745983069512466,0.07631221402986293,,,,-373543.1583172387,45.057852485525025,,-219224.8499999995,,45.182,,,,,,-0.6599999999999966,,21129.8,,44.830000000000005,45.07000000000001,45.47,45.71,44.430000000000014,44.19000000000001,43.79000000000002,-0.010850310008857283,,0.24449204845602474,,0.3021092517616781,,0.4828438666321055,,0.12499999999999861,,,
9,2012-08-24,44.57,45.25,44.57,45.19,1074164,DPS,0.0,,,0.02672044747416271,0.5016563920934751,,,,90758.41013161067,45.102679017664805,,-49902.0200000002,,45.188,,,,,,0.519999999999996,,-52785.2,,45.00333333333333,45.43666666666666,45.68333333333333,46.11666666666666,44.75666666666666,44.32333333333333,44.07666666666666,-0.005282852740479903,,0.24449204845602474,,0.30186089511561615,,0.6283406159464107,,0.9117647058823496,,,
