,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,53.65,53.86,53.3,53.45,1251411,D,-0.0,,,,,,,,,,,,,,,,,,,,,,,53.53666666666667,53.77333333333334,54.09666666666668,54.33333333333334,53.21333333333334,52.97666666666667,52.653333333333336,,,,,,,,,0.2678571428571519,0.0,0.0,
1,2012-08-14,53.55,53.75,53.39,53.5,1546098,D,-0.0,,,,,,,,,,,,,,,,,,,0.04999999999999716,,,,53.54666666666666,53.70333333333332,53.90666666666665,54.06333333333332,53.34333333333332,53.18666666666666,52.98333333333332,,,,,,,,,0.30555555555555447,,,
2,2012-08-15,53.53,53.99,53.36,53.81,1413402,D,0.0,,,,,,,,,,,58316.75999999991,,,,,,,,0.3100000000000023,,,,53.72,54.08,54.35000000000001,54.71,53.449999999999996,53.089999999999996,52.81999999999999,,,,,,,,,0.7142857142857159,,,
3,2012-08-16,53.79,54.17,53.56,53.95,5901648,D,0.0,,,,,,,,,53.766615384615385,,1959997.5000000123,,,,,,,,0.14000000000000057,,,,53.89333333333334,54.226666666666674,54.50333333333333,54.83666666666667,53.616666666666674,53.28333333333334,53.006666666666675,,,,,,,0.5527532576712924,,0.6393442622950835,,,
4,2012-08-17,54.07,54.17,53.71,53.92,1628804,D,-0.0,,,0.017544432315070344,0.7058154163161097,,,,,53.82549763033175,,23694.219999999877,,53.726,,,,,,-0.030000000000001137,,1446468.8,,53.93333333333334,54.15666666666667,54.39333333333334,54.616666666666674,53.69666666666667,53.473333333333336,53.23666666666667,0.008793264733395674,,1.0,,0.23564804263986733,,0.5158113003167456,,0.4565217391304358,,,
5,2012-08-20,53.74,54.14,53.63,54.12,1339451,D,0.0,,,0.01707324757901636,0.7827423483887263,,,,,53.93311278195489,,-775573.4899999753,,53.86,,,,,,0.19999999999999574,,1714359.0,,53.96333333333334,54.296666666666674,54.473333333333336,54.80666666666667,53.786666666666676,53.45333333333334,53.27666666666668,0.011588785046728924,,0.6914774004947207,,0.22989127865145526,,0.6784104616074575,,0.9607843137254839,,,
6,2012-08-21,54.06,54.31,53.79,53.8,1564930,D,-0.0,,,0.009629640197142127,0.2688886352685951,,,,,53.88598348712967,,7664.88000000029,,53.92,,,,,,-0.3200000000000003,,1092153.4,,53.96666666666666,54.143333333333324,54.48666666666667,54.66333333333333,53.62333333333332,53.44666666666666,53.10333333333332,-0.00018583906337121567,,0.8391314033791824,,0.1298075498574759,,0.44502435391313583,,0.01923076923076529,,,
7,2012-08-22,53.61,53.8,53.45,53.61,1647375,D,-0.0,,,0.014056493117120917,0.14350028021159764,,,,,53.790253766851706,,-157041.23999999938,,53.88000000000001,,,,,,-0.18999999999999773,,479998.0,,53.620000000000005,53.790000000000006,53.97,54.14,53.44000000000001,53.27000000000001,53.09000000000002,-0.006302131603336486,,0.35859773738742745,,0.1893409622876188,,0.44922786962501454,,0.4571428571428548,,,
8,2012-08-23,53.55,53.58,52.95,53.14,1432439,D,-0.0,,,0.027733820254180426,0.1120298551005086,,,,-287300.8635690077,53.567713734286166,,87444.05999999955,,53.718,,,,,,-0.46999999999999886,,-986819.4,,53.223333333333336,53.49666666666667,53.85333333333334,54.126666666666665,52.866666666666674,52.59333333333334,52.23666666666668,-0.014465875370919902,,0.16457003729368253,,0.3724513391035161,,0.39870000113117265,,0.3015873015873002,,,
9,2012-08-24,53.01,53.56,53.0,53.49,1261421,D,0.0,,,0.027124808170229102,0.40238924403040505,,,,166526.6043323815,53.54135200344679,,46314.479999999014,,53.632000000000005,,,,,,0.3500000000000014,,-408774.4,,53.35,53.7,53.91,54.260000000000005,53.14,52.79,52.58,-0.011640798226163996,,0.16457003729368255,,0.36368942794643183,,0.5602685125958021,,0.875,,,
10,2012-08-27,53.7,54.2,53.5,54.05,2514803,D,0.0,,,0.025427073336715043,0.8168668166526099,,,,478096.74881547893,53.71288442538221,,984951.2399999963,,53.61800000000001,,,,,,0.5599999999999952,,-173704.0,,53.916666666666664,54.33333333333333,54.616666666666674,55.03333333333333,53.633333333333326,53.21666666666666,52.93333333333332,0.004646840148698885,,0.6456205874571129,0.5856337367819779,0.34083720454199684,,0.6362960596227578,,0.7857142857142785,-0.00043851251396585377,,
11,2012-08-28,53.96,54.11,53.84,53.95,2020409,D,-0.0,,,0.027326046108713815,0.7060044538859404,,,,13892.008523386146,53.792536859171896,,349134.4800000006,,53.648,,,,,,-0.09999999999999432,,-264799.8,,53.96666666666667,54.093333333333334,54.236666666666665,54.36333333333333,53.82333333333334,53.69666666666667,53.55333333333334,0.006342100354411554,,0.6456205874571129,0.5856337367819779,0.3664969304100697,,0.5594072333818871,,0.4074074074074113,-7.4947011620776765e-06,,
12,2012-08-29,53.34,53.42,52.91,52.97,1610790,D,-0.0,,,0.03571839505335918,0.21229020446840335,,,,-435799.7589514342,53.516941835195205,,976334.0399999984,,53.52,,,,,,-0.980000000000004,,-257482.8,,53.1,53.290000000000006,53.610000000000014,53.80000000000001,52.78,52.589999999999996,52.269999999999996,-0.0031990967256304422,,0.24455469880176098,0.3083832789448117,0.4779121258139459,,0.41139331213107844,,0.11764705882353269,-0.0004629295310836462,,
