,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,101.89,102.08,99.79,100.72,925300,FFIV,-0.0,,,,,,,,,,,,,,,,,,,,,,,100.86333333333334,101.93666666666668,103.15333333333332,104.22666666666667,99.64666666666669,98.57333333333335,97.3566666666667,,,,,,,,,0.4061135371179021,0.0,0.0,
1,2012-08-14,101.0,101.28,96.8,96.99,1812959,FFIV,-0.0,,,,,,,,,,,,,,,,,,,-3.730000000000004,,,,98.35666666666667,99.91333333333334,102.83666666666666,104.39333333333335,95.43333333333334,93.87666666666667,90.95333333333333,,,,,,,,,0.04241071428571374,,,
2,2012-08-15,97.62,99.74,97.0,99.29,1551998,FFIV,0.0,,,,,,,,,,,-896178.1399999954,,,,,,,,2.3000000000000114,,,,98.67666666666668,100.35333333333335,101.41666666666669,103.09333333333335,97.61333333333336,95.93666666666668,94.87333333333336,,,,,,,,,0.835766423357668,,,
3,2012-08-16,100.0,104.5,99.89,104.05,2021776,FFIV,0.0,,,,,,,,,101.01861538461539,,1474248.0200000005,,,,,,,,4.759999999999991,,,,102.81333333333333,105.73666666666666,107.42333333333333,110.34666666666666,101.12666666666667,98.20333333333333,96.51666666666667,,,,,,,0.6640931946384552,,0.9023861171366588,,,
4,2012-08-17,104.37,104.88,102.4,103.56,1400570,FFIV,-0.0,,,0.11708691748287244,0.7232443982331177,,,,,101.99421800947866,,-646597.5599999994,,100.922,,,,,,-0.4899999999999949,,72049.0,,103.61333333333334,104.82666666666668,106.09333333333333,107.30666666666667,102.34666666666669,101.13333333333335,99.8666666666667,0.028196981731532997,,0.7762364619317599,,2.954161471551613,,0.5887166449156055,,0.4677419354838715,,,
5,2012-08-20,103.19,103.77,101.03,101.68,1009175,FFIV,-0.0,,,0.11744805168838203,0.547660580015564,,,,,101.8793984962406,,2399864.3699999903,,101.11399999999999,,,,,,-1.8799999999999955,,-129786.0,,102.16000000000001,103.29000000000002,104.9,106.03000000000002,100.55000000000003,99.42000000000002,97.81000000000003,0.048355500567068894,,0.5568937583434835,,2.968910574604765,,0.46027730760277596,,0.2372262773722653,,,
6,2012-08-21,102.44,103.37,101.08,102.31,1291676,FFIV,0.0,,,0.07329104964002929,0.5176264799785731,,,,,102.03185526954833,,136117.5,,102.17799999999997,,,,,,0.6299999999999955,,491141.0,,102.25333333333333,103.42666666666666,104.54333333333334,105.71666666666667,101.13666666666666,99.96333333333332,98.84666666666665,0.030415953268204208,,0.5568937583434836,,1.8721832175297275,,0.4874831331115871,,0.5371179039301313,,,
7,2012-08-22,101.0,101.0,98.71,100.23,1321756,FFIV,0.0,,,0.05957478640866222,0.14974606670647522,,,,,101.40685011895322,,-453242.4500000009,,102.36599999999997,,,,,,-2.0799999999999983,,-83609.8,,99.98,101.25000000000001,102.27000000000002,103.54000000000002,98.96000000000001,97.69,96.67,-0.036713118692936024,,0.28440447421975856,,1.5246081463772787,,0.5486262854760423,,0.6637554585152865,,,
8,2012-08-23,99.71,100.98,98.26,99.02,1292337,FFIV,-0.0,,,0.07003318108631497,0.17035582799453292,,,,-171024.46759042397,100.58998487298526,,-2174.690000000004,,101.35999999999999,,,,,,-1.210000000000008,,-746432.4,,99.42,100.58,102.14,103.3,97.86,96.7,95.14,-0.04383932020084981,,0.2516703094488467,,1.7746408087272212,,0.45649147400178225,,0.27941176470587914,,,
9,2012-08-24,98.92,99.49,98.12,98.65,1370269,FFIV,-0.0,,,0.06388302605821676,0.2305242309892624,,,,-174490.29450321518,99.93191124515296,,-76650.53999999992,,100.37799999999999,,,,,,-0.36999999999999034,,-740372.2,,98.75333333333333,99.38666666666666,100.12333333333333,100.75666666666665,98.01666666666667,97.38333333333334,96.64666666666668,-0.029799370574350913,,0.2396560555839189,,1.6031125974179201,,0.43287181968207356,,0.3868613138686167,,,
10,2012-08-27,99.48,100.93,98.05,100.49,1179557,FFIV,0.0,,,0.05758739304821881,0.5606922221237407,,,,175299.29779220987,100.12011667685138,,-165786.59999999986,,100.13999999999997,,,,,,1.8399999999999892,,-302625.8,,99.82333333333334,101.59666666666668,102.70333333333333,104.47666666666669,98.71666666666667,96.94333333333333,95.83666666666666,-0.01778907242693781,,0.5494066258981104,0.49371830531790467,1.4417003849621575,,0.5726040678365063,,0.8472222222222185,-0.0025114116457218586,,
11,2012-08-28,100.21,101.77,99.73,100.83,1208642,FFIV,0.0,,,0.03823356215432683,0.7582915395883377,,,,82049.38106014763,100.35858238913804,,-352346.8599999988,,99.84399999999997,,,,,,0.3400000000000034,,-319232.6,,100.77666666666666,101.82333333333331,102.81666666666665,103.8633333333333,99.78333333333332,98.73666666666666,97.74333333333333,0.0059862316671654625,,0.6618932132476999,0.5636597606409529,0.9543479449341516,,0.561388162445229,,0.5392156862745091,-0.001735846324221287,,
12,2012-08-29,101.0,102.63,100.53,102.09,1395918,FFIV,0.0,,,0.055903243852624594,0.83449953090723,,,,213681.93114400283,100.93870238334665,,346177.60000000184,,100.21599999999997,,,,,,1.2600000000000051,,224302.2,,101.75,102.97,103.85,105.07,100.87,99.65,98.77000000000001,0.031003837608564,,0.7509927026858411,0.6261496879422986,1.400599871483656,,0.6221902376956904,,0.742857142857146,-0.0005420352156522638,,
