,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,11.58,11.72,11.45,11.52,11593974,GLW,-0.0,,,,,,,,,,,,,,,,,,,,,,,11.563333333333333,11.676666666666666,11.833333333333332,11.946666666666667,11.406666666666665,11.293333333333331,11.136666666666663,,,,,,,,,0.259259259259259,0.0,0.0,
1,2012-08-14,11.58,11.62,11.48,11.52,12799116,GLW,-0.0,,,,,,,,,,,,,,,,,,,0.0,,,,11.540000000000001,11.600000000000001,11.68,11.74,11.460000000000003,11.400000000000002,11.320000000000004,,,,,,,,,0.2857142857142821,,,
2,2012-08-15,11.53,11.62,11.47,11.59,11362965,GLW,0.0,,,,,,,,,,,-16170.630000000067,,,,,,,,0.07000000000000028,,,,11.56,11.65,11.709999999999999,11.799999999999999,11.500000000000002,11.410000000000002,11.350000000000003,,,,,,,,,0.8000000000000024,,,
3,2012-08-16,11.6,11.75,11.59,11.75,11858364,GLW,0.0,,,,,,,,,11.634923076923075,,-216372.9600000004,,,,,,,,0.16000000000000014,,,,11.696666666666667,11.803333333333335,11.856666666666666,11.963333333333335,11.643333333333334,11.536666666666667,11.483333333333334,,,,,,,0.7215791615791615,,1.0,,,
4,2012-08-17,11.8,12.0,11.75,11.99,14798883,GLW,0.0,,,0.06855404692231339,0.894851958268271,,,,,11.77123222748815,,1374367.2000000011,,11.674,,,,,,0.2400000000000002,,7604042.4,,11.913333333333334,12.076666666666668,12.163333333333334,12.326666666666668,11.826666666666668,11.663333333333334,11.576666666666668,0.04079861111111117,,0.9853372434017599,,0.20007498594277162,,0.8131056445748391,,0.9600000000000009,,,
5,2012-08-20,11.95,12.0,11.81,11.99,11823463,GLW,0.0,,,0.0744849292301089,0.7532689239821174,,,,,11.851172932330828,,-8376.240000000007,,11.768,,,,,,0.0,,7604042.4,,11.933333333333335,12.05666666666667,12.123333333333337,12.24666666666667,11.86666666666667,11.743333333333336,11.676666666666671,0.04079861111111117,,0.9853372434017599,,0.2191346617949804,,0.8621670801900327,,0.9473684210526325,,,
6,2012-08-21,12.02,12.13,11.8,11.86,10854959,GLW,-0.0,,,0.057531305004844525,0.5352453688425078,,,,,11.854298203011172,,512710.1200000031,,11.836000000000002,,,,,,-0.13000000000000078,,5433050.6,,11.93,12.059999999999999,12.260000000000002,12.389999999999999,11.729999999999999,11.6,11.399999999999999,0.023295944779982706,,0.9915355237140769,,0.17023513150933497,,0.6212859015047089,,0.1818181818181779,,,
7,2012-08-22,11.85,11.86,11.57,11.73,10455344,GLW,0.0,,,0.042218410903570695,0.23247043840627976,,,,,11.811183187946076,,355710.9399999997,,11.864,,,,,,-0.129999999999999,,1069388.8,,11.719999999999999,11.869999999999997,12.009999999999998,12.159999999999997,11.579999999999998,11.43,11.29,-0.0017021276595744319,,0.4843724983493245,,0.1252198067399907,,0.5971571819272908,,0.5517241379310366,,,
8,2012-08-23,11.66,11.67,11.5,11.55,10385301,GLW,-0.0,,,0.06336148724461829,0.13426983733712491,,,,-3139377.6497830306,11.721796985029474,,145593.9799999994,,11.824000000000002,,,,,,-0.17999999999999972,,-3379344.2,,11.573333333333332,11.646666666666665,11.743333333333332,11.816666666666665,11.476666666666665,11.403333333333332,11.306666666666665,-0.03669724770642198,,0.39769806301113086,,0.1872965562950917,,0.4934462441425126,,0.2941176470588278,,,
9,2012-08-24,11.52,11.53,11.34,11.52,11073904,GLW,0.0,,,0.0684139902736198,0.23831648720340654,,,,816301.1768910466,11.653344248168894,,-129897.60000000053,,11.73,,,,,,-0.030000000000001137,,-8553901.6,,11.463333333333333,11.586666666666666,11.653333333333332,11.776666666666666,11.396666666666667,11.273333333333333,11.206666666666667,-0.03919933277731448,,0.2528899078588597,,0.20062402647739008,,0.6474238435931268,,0.9473684210526325,,,
10,2012-08-27,11.53,11.62,11.47,11.59,7423670,GLW,0.0,,,0.04885922565067093,0.39459074466105776,,,,713207.4844275685,11.63198253559415,,-118465.23999999747,,11.649999999999999,,,,,,0.07000000000000028,,-7069167.6,,11.56,11.65,11.709999999999999,11.799999999999999,11.500000000000002,11.410000000000002,11.350000000000003,-0.022765598650927452,,0.41937812459869095,0.46859928459218464,0.14230249470757908,,0.6988774181976053,,0.8000000000000024,-0.002328462328145825,,
11,2012-08-28,11.55,11.75,11.54,11.68,7627571,GLW,0.0,,,0.03047607619167199,0.6864674634957167,,,,28874.353673553094,11.64811267765884,,-551413.2800000005,,11.613999999999999,,,,,,0.08999999999999986,,-3372661.6,,11.656666666666666,11.773333333333333,11.866666666666667,11.983333333333334,11.563333333333333,11.446666666666665,11.353333333333332,-0.0042625745950554735,,0.5997472220020128,0.5746453935133913,0.08848728722251961,,0.6880571051170771,,0.6666666666666666,-0.0019078221236852333,,
12,2012-08-29,11.67,11.82,11.56,11.76,8532947,GLW,0.0,,,0.03399039183843741,0.8544587784792732,,,,372651.34950804804,11.685601075825389,,188577.0899999999,,11.62,,,,,,0.08000000000000007,,424996.6,,11.713333333333333,11.866666666666665,11.973333333333331,12.126666666666665,11.606666666666666,11.453333333333333,11.346666666666666,0.0181818181818181,,0.6756935878131043,0.6225754659691004,0.09874208829066068,,0.7152547408925858,,0.7692307692307672,-0.0011323144853368045,,
13,2012-08-30,11.69,11.71,11.52,11.62,8658570,GLW,0.0,,0.21879371573888146,0.031285716117800275,0.4615361390519108,,,,-791980.3839219473,11.663658887862065,,-61859.94000000051,,11.634,,,,,0.5,-0.14000000000000057,,770342.8,,11.616666666666667,11.713333333333335,11.806666666666668,11.903333333333336,11.523333333333333,11.426666666666666,11.333333333333332,0.008680555555555525,,0.5866430478335422,0.5785493876564622,0.0909945053286221,,0.6520586128799634,,0.5263157894736789,-0.0009089300041926081,,
14,2012-08-31,11.98,12.17,11.92,11.99,16641749,GLW,-0.0,,0.2687998217486779,0.054644816053193844,0.9088164528146252,,,,-3592342.411320211,11.772688244365328,,1865024.4600000035,,11.728,,,,,0.5714285714285714,0.370000000000001,,6313473.4,,12.026666666666666,12.133333333333331,12.276666666666666,12.383333333333331,11.883333333333331,11.776666666666666,11.633333333333331,0.03451251078515965,,0.8675918849297098,0.7850942853771459,0.16021860066796434,,0.5277552087576746,,0.28000000000000114,0.0003605113620531337,,
15,2012-09-04,12.02,12.1,11.77,11.91,9507396,GLW,-0.0,,0.277879686772114,0.05262723656050208,0.6901445888957449,,,,-2569504.1698449934,11.818528618743297,,246159.5400000008,,11.791999999999998,,,,,0.5714285714285714,-0.08000000000000007,,2927260.2,,11.926666666666668,12.083333333333336,12.256666666666668,12.413333333333336,11.753333333333336,11.596666666666668,11.423333333333336,0.019691780821917845,,0.6621388627352142,0.6603728534297854,0.15514509338036012,,0.49319833652810846,,0.42424242424242586,0.0013015794385427347,,
16,2012-09-05,11.9,11.92,11.75,11.85,6980221,GLW,0.0,,0.26211129193868116,0.04822706206024109,0.5420806617750461,,,,-1080760.087439763,11.82902973736944,,1352613.9200000055,,11.825999999999997,,,,,0.5,-0.0600000000000005,,5701.8,,11.840000000000002,11.930000000000003,12.010000000000002,12.100000000000003,11.760000000000003,11.670000000000002,11.590000000000003,0.007653061224489784,,0.6341085814608038,0.6442456099099718,0.14258330898110275,,0.5249095079373048,,0.5882352941176452,0.0016579963683954746,,
17,2012-09-06,11.91,12.4,11.91,12.3,17893843,GLW,0.0,,0.30365780031504996,0.08266713110422665,0.8709899849897336,,,,2556356.8591469345,11.986126122530047,,3270714.3300000047,,11.934,,,,,0.5,0.45000000000000107,,1877881.0,,12.203333333333333,12.496666666666666,12.693333333333332,12.986666666666666,12.006666666666666,11.713333333333333,11.516666666666666,0.058519793459552626,,0.8489541605911411,0.789827772762494,0.24663738564946017,,0.6153069608931602,,0.7959183673469395,0.003126739608581377,,
18,2012-09-07,12.29,12.57,12.26,12.55,12994349,GLW,0.0,,0.30456312999109797,0.09779229300349215,0.8627949275462691,,,,4032247.8607155113,12.174168906468303,11.901214382120772,4209889.600000006,,12.120000000000001,,,,,0.5,0.25,,6208464.8,,12.459999999999999,12.659999999999998,12.770000000000001,12.969999999999999,12.349999999999998,12.149999999999999,12.039999999999997,0.0467055879899917,,0.8830140736980893,0.8205625058549978,0.29631064780058125,,0.722080762498079,0.6465175632153047,0.9354838709677434,0.00519701291992728,,
19,2012-09-10,12.55,12.7,12.5,12.58,13383072,GLW,-0.0,,0.2897762598213787,0.11278483779318657,0.7477792522047174,0.10828994656533387,1.0750829499530188,,-142333.80380676873,12.309486631563654,11.97595939879805,-1263015.879999997,,12.238000000000001,11.842500000000001,,,,0.5,0.02999999999999936,,5556729.4,2730085.9,12.593333333333334,12.686666666666667,12.793333333333333,12.886666666666667,12.486666666666668,12.393333333333334,12.286666666666669,0.05625524769101595,0.09201388888888894,0.9057637503917015,0.841508679575107,0.34506521122825434,0.32060592304999164,0.6146882123143617,0.6193720862216417,0.4000000000000018,0.006779512598399621,,
20,2012-09-11,12.58,12.86,12.53,12.77,12140145,GLW,0.0,,0.2954189227686284,0.11438979870308005,0.753596598196646,0.12503237145673746,1.0811178815736044,,751694.9693453675,12.463021869339965,12.062114026847947,-187924.87999999902,,12.410000000000002,11.905000000000001,,,,0.5714285714285714,0.1899999999999995,,9886237.6,3337093.15,12.719999999999999,12.909999999999998,13.049999999999999,13.239999999999998,12.579999999999998,12.389999999999999,12.249999999999998,0.07763713080168776,0.10850694444444445,0.929415187820143,0.8645133179339572,0.3548943504763059,0.3721275955481149,0.6522239093403919,0.6310794719422588,0.7272727272727277,0.00812487335947447,,
21,2012-09-12,12.78,12.87,12.64,12.7,8826149,GLW,-0.0,,0.2863051592304305,0.05727784907679261,0.6665382144960121,0.13385062444696455,0.9596010459308042,,-2029311.5263050452,12.542025138914369,12.130419669163386,-546830.7599999964,,12.580000000000002,11.964,,,,0.6428571428571429,-0.07000000000000028,,9517052.0,2895785.7,12.736666666666665,12.833333333333329,12.966666666666661,13.063333333333327,12.60333333333333,12.506666666666666,12.373333333333331,0.03252032520325192,0.0957722174288179,0.9309319749582659,0.8659504804224035,0.1801388353465128,0.400347217720871,0.5217550231957109,0.5914369236895896,0.2608695652173873,0.008504540769823448,,
