,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,21.17,21.26,20.86,21.2,2436684,GPN,0.0,,,,,,,,,,,,,,,,,,,,,,,21.10666666666667,21.35333333333334,21.506666666666675,21.75333333333334,20.953333333333337,20.706666666666667,20.553333333333335,,,,,,,,,0.8499999999999951,0.0,0.0,
1,2012-08-14,21.1,21.19,20.82,21.0,1858138,GPN,-0.0,,,,,,,,,,,,,,,,,,,-0.1999999999999993,,,,21.003333333333334,21.186666666666667,21.373333333333335,21.55666666666667,20.816666666666666,20.633333333333333,20.446666666666665,,,,,,,,,0.4864864864864844,,,
2,2012-08-15,20.99,21.13,20.48,20.6,3023292,GPN,-0.0,,,,,,,,,,,-351964.79999999877,,,,,,,,-0.3999999999999986,,,,20.736666666666668,20.993333333333336,21.386666666666667,21.643333333333334,20.343333333333337,20.08666666666667,19.69333333333334,,,,,,,,,0.18461538461538654,,,
3,2012-08-16,20.68,20.94,20.63,20.78,2844196,GPN,-0.0,,,,,,,,,20.82246153846154,,-216932.75999999887,,,,,,,,0.17999999999999972,,,,20.783333333333335,20.93666666666667,21.093333333333337,21.246666666666673,20.62666666666667,20.473333333333333,20.316666666666666,,,,,,,0.44654509061457043,,0.48387096774193883,,,
4,2012-08-17,20.81,20.86,20.44,20.47,2092056,GPN,-0.0,,,0.05676049230267521,0.21215367887159345,,,,,20.687156398104264,,121060.68000000238,,20.810000000000002,,,,,,-0.3100000000000023,,-825858.0,,20.59,20.74,21.01,21.159999999999997,20.32,20.17,19.900000000000002,-0.034433962264150964,,0.0,,0.2952964612046678,,0.3025430145289479,,0.07142857142856598,,,
5,2012-08-20,20.47,20.5,20.1,20.17,3069714,GPN,-0.0,,,0.06093863072510436,0.15434288820811656,,,,,20.498180451127823,,-137565.97999999986,,20.604000000000003,,,,,,-0.29999999999999716,,-1439800.8,,20.256666666666668,20.413333333333334,20.656666666666666,20.813333333333333,20.013333333333335,19.85666666666667,19.613333333333337,-0.03952380952380944,,0.0,,0.3138948868650126,,0.2559370708740095,,0.17500000000000132,,,
6,2012-08-21,20.22,20.25,19.86,19.94,2532470,GPN,-0.0,,,0.06604641395114601,0.16439426770315604,,,,,20.300553666828563,,-233419.41999999894,,20.392000000000003,,,,,,-0.23000000000000043,,-1574667.2,,20.016666666666666,20.173333333333332,20.406666666666666,20.563333333333333,19.78333333333333,19.626666666666665,19.39333333333333,-0.03203883495145632,,0.0,,0.3367046183229424,,0.23794791928164036,,0.20512820512820956,,,
7,2012-08-22,19.88,20.12,19.68,20.06,2681374,GPN,0.0,,,0.06702761649283198,0.335244227290149,,,,,20.21711340206186,,42717.40000000116,,20.284000000000002,,,,,,0.11999999999999744,,-433734.0,,19.953333333333333,20.226666666666667,20.393333333333338,20.666666666666668,19.786666666666665,19.513333333333332,19.346666666666664,-0.03464870067372485,,0.0,,0.339897043235151,,0.45497894668905814,,0.8636363636363589,,,
8,2012-08-23,20.02,20.16,19.98,20.11,1815084,GPN,0.0,,,0.039278131885674875,0.44946013042806804,,,,678656.770106282,20.180455375306458,,-121955.61999999867,,20.150000000000002,,,,,,0.05000000000000071,,-639556.4,,20.083333333333332,20.186666666666664,20.263333333333332,20.366666666666664,20.006666666666664,19.903333333333332,19.826666666666664,-0.017586712261846577,,0.0779217098962509,,0.1978635893740872,,0.5464391277319386,,0.7222222222222179,,,
9,2012-08-24,20.12,20.45,20.08,20.42,2566408,GPN,0.0,,,0.03533355883745099,0.8934695991235502,,,,1012116.9264103808,20.26171271003878,,-41387.760000000344,,20.140000000000004,,,,,,0.3100000000000023,,292136.4,,20.316666666666666,20.553333333333335,20.686666666666667,20.923333333333336,20.183333333333334,19.946666666666665,19.813333333333333,0.012394645513138323,,0.48513287578302905,,0.1779044687465658,,0.6727901786571169,,0.9189189189189256,,,
10,2012-08-27,20.46,20.64,20.36,20.62,2393322,GPN,0.0,,,0.05553958242288858,0.8471091915730928,,,,1018407.2062356551,20.38253867811924,,294901.3800000009,,20.230000000000004,,,,,,0.1999999999999993,,1384743.6,,20.540000000000003,20.720000000000006,20.820000000000007,21.000000000000007,20.440000000000005,20.26,20.160000000000004,0.03410230692076227,,0.633566110597563,0.4587236920111385,0.28089143810375905,,0.7590478216258962,,0.9285714285714304,-0.0002878654402247162,,
11,2012-08-28,20.58,20.85,20.49,20.78,2121504,GPN,0.0,,,0.06145714324492866,0.8047217169502433,,,,696249.1697119698,20.5160548407589,,-160165.43999999974,,20.398000000000003,,,,,,0.16000000000000014,,2315538.4,,20.706666666666667,20.923333333333336,21.066666666666674,21.28333333333334,20.563333333333333,20.346666666666664,20.20333333333333,0.0358923230309074,,0.746604978230411,0.5653611024062346,0.31340070197751374,,0.7746708114000243,,0.8055555555555564,0.0010103777326296679,,
12,2012-08-29,20.76,20.84,20.64,20.78,1437654,GPN,0.0,,,0.05515166083079079,0.7100756117513517,,,,280425.871324801,20.604490965752518,,-152906.88000000015,,20.542000000000005,,,,,,0.0,,1779263.6,,20.753333333333334,20.866666666666667,20.953333333333333,21.066666666666666,20.666666666666668,20.553333333333335,20.46666666666667,0.033316757831924504,,0.7466049782304112,0.5653611024062347,0.2832313541965262,,0.7496519884394759,,0.7000000000000053,0.0018866114315006022,,
13,2012-08-30,20.64,20.78,20.52,20.66,1141202,GPN,0.0,,0.3143740696235472,0.028675972145373964,0.5135085806739508,,,,-64046.19476637314,20.623057576860585,,117636.24000000098,,20.652000000000005,,,,,0.42857142857142855,-0.120000000000001,,1188006.4,,20.653333333333332,20.786666666666665,20.913333333333338,21.046666666666667,20.526666666666664,20.39333333333333,20.266666666666662,0.011753183153770736,,0.5548896580332322,0.48854405805830514,0.14805404418656581,,0.6790131994993486,,0.5384615384615374,0.002111398422611158,,
14,2012-08-31,20.78,20.86,20.48,20.82,1001480,GPN,0.0,,0.32428238775439855,0.016731223915628493,0.753696082207973,,,,19076.655201193877,20.688855310778976,,-17446.959999999628,,20.732000000000003,,,,,0.5,0.16000000000000014,,875020.8,,20.720000000000002,20.960000000000004,21.099999999999998,21.340000000000003,20.580000000000005,20.340000000000003,20.200000000000006,0.009699321047526637,,0.6409427396508989,0.5380014991380457,0.08671793355470249,,0.75108566925891,,0.8947368421052652,0.002325734132893301,,
15,2012-09-04,20.8,20.89,20.52,20.78,1707480,GPN,0.0,,0.3310652070246167,0.011686188316778144,0.56593804733959,,,,20538.211389631266,20.719283198450672,,67953.36000000057,,20.764000000000003,,,,,0.5714285714285714,-0.03999999999999915,,54860.4,,20.73,20.94,21.100000000000005,21.310000000000002,20.57,20.36,20.2,0.0,,0.6740282618674368,0.5569869899549915,0.06066300355239535,,0.7349334229330097,,0.7027027027027051,0.0023156345386141767,,
16,2012-09-05,20.78,21.0,20.71,20.96,1303150,GPN,0.0,,0.32506284997616997,0.020712172335130927,0.8713906763541359,,,,97670.46364132687,20.79960365428821,,42233.80000000017,,20.8,,,,,0.6428571428571429,0.17999999999999972,,-108810.4,,20.89,21.07,21.18,21.36,20.78,20.6,20.490000000000002,0.00866217516843117,,0.778704209290904,0.6239518305411963,0.10770329614268083,,0.7773549932920097,,0.8620689655172439,0.0024875622238865005,,
