,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,34.2,34.63,34.16,34.63,5038499,GPS,0.0,,,,,,,,,,,,,,,,,,,,,,,34.47333333333333,34.78666666666666,34.94333333333333,35.25666666666667,34.316666666666656,34.00333333333332,33.84666666666665,,,,,,,,,1.0,0.0,0.0,
1,2012-08-14,34.76,34.89,34.51,34.61,6401721,GPS,-0.0,,,,,,,,,,,,,,,,,,,-0.020000000000003126,,,,34.67,34.830000000000005,35.050000000000004,35.21000000000001,34.45,34.29,34.07,,,,,,,,,0.2631578947368441,,,
2,2012-08-15,34.74,34.89,34.55,34.61,3767144,GPS,-0.0,,,,,,,,,,,25427.100000003975,,,,,,,,0.0,,,,34.68333333333333,34.81666666666666,35.023333333333326,35.156666666666666,34.47666666666666,34.34333333333333,34.136666666666656,,,,,,,,,0.17647058823529904,,,
3,2012-08-16,34.69,34.83,33.35,34.34,8198011,GPS,0.0,,,,,,,,,34.50030769230769,,-484998.2999999928,,,,,,,,-0.269999999999996,,,,34.17333333333334,34.99666666666668,35.65333333333333,36.476666666666674,33.51666666666668,32.69333333333334,32.03666666666668,,,,,,,0.4983873251675138,,0.6689189189189216,,,
4,2012-08-17,35.11,36.23,35.01,35.99,15798727,GPS,0.0,,,0.0753457284711495,0.9396619591252192,,,,,35.07218009478673,,16603584.54000003,,34.836,,,,,,1.6499999999999986,,239799.0,,35.74333333333333,36.47666666666667,36.96333333333333,37.696666666666665,35.25666666666667,34.52333333333333,34.03666666666667,0.0392723072480508,,0.6355522499070291,,0.6561859492552409,,0.6154309291102793,,0.8032786885245942,,,
5,2012-08-20,35.94,36.03,35.14,35.34,7570180,GPS,-0.0,,,0.07741510938347448,0.6336865960511122,,,,,35.17004511278196,,-627831.0,,34.978,,,,,,-0.6499999999999986,,-1274237.0,,35.50333333333334,35.866666666666674,36.39333333333333,36.756666666666675,34.976666666666674,34.61333333333334,34.08666666666667,0.021092169893094596,,0.6355522499070291,,0.6769564240037926,,0.47265953933469523,,0.22471910112359855,,,
6,2012-08-21,35.63,35.78,35.13,35.32,5895443,GPS,-0.0,,,0.07455135780574366,0.5763870838527732,,,,,35.223137445361836,,6635200.280000017,,35.120000000000005,,,,,,-0.020000000000003126,,-1172981.4,,35.41,35.68999999999999,36.059999999999995,36.33999999999999,35.03999999999999,34.76,34.38999999999999,0.02051430222479055,,0.6302995195118716,,0.6545609215344295,,0.4088050000036184,,0.29230769230768944,,,
7,2012-08-22,35.17,35.48,35.12,35.3,4596395,GPS,,,,0.0668986191125298,0.5178063318783988,,,,,35.24979857256147,,118951.40000001859,,35.258,,,,,,-0.020000000000003126,,-2092260.4,,35.3,35.48,35.660000000000004,35.839999999999996,35.12,34.94,34.76,0.027955736750145416,,0.6230898958663268,,0.5896778781673939,,0.44043758763122925,,0.5,,,
8,2012-08-23,35.07,35.2,34.84,34.97,5298310,GPS,-0.0,,,0.04198386656527898,0.22131667616636588,,,,-863529.5300809753,35.15404152104742,,208996.55000000086,,35.384,,,,,,-0.3299999999999983,,-1512320.2,,35.00333333333334,35.16666666666667,35.363333333333344,35.52666666666667,34.80666666666667,34.64333333333334,34.44666666666667,-0.02834120589052523,,0.4301961322482971,,0.37138928363645785,,0.41328923791297906,,0.36111111111109906,,,
9,2012-08-24,34.67,35.17,34.67,35.12,4173283,GPS,0.0,,,0.018212121035934958,0.3596488561508415,,,,572915.7764344007,35.142494097371824,,76160.15999999987,,35.21,,,,,,0.14999999999999858,,-3837409.0,,34.98666666666667,35.30333333333334,35.486666666666665,35.80333333333334,34.80333333333334,34.48666666666667,34.30333333333334,-0.006225240520656648,,0.3405768390803354,,0.16031219541881747,,0.5783892453263123,,0.8999999999999915,,,
10,2012-08-27,35.1,35.24,35.04,35.09,3005385,GPS,-0.0,,,0.016854985654185875,0.3818807212640074,,,,-338106.2209011805,35.12479140372019,,-275151.0000000104,,35.160000000000004,,,,,,-0.02999999999999403,,-2924450.0,,35.123333333333335,35.20666666666667,35.323333333333345,35.40666666666667,35.00666666666667,34.92333333333333,34.806666666666665,-0.006511891279728111,,0.41127740227562537,0.46841617155374377,0.14815532390029384,,0.4676458570301349,,0.25000000000001776,-3.259060991169139e-05,,
