,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,45.5,45.68,45.32,45.41,1436441,HCP,-0.0,,,,,,,,,,,,,,,,,,,,,,,45.47,45.62,45.830000000000005,45.98,45.26,45.11,44.9,,,,,,,,,0.24999999999999012,0.0,0.0,
1,2012-08-14,45.56,45.72,45.33,45.4,1449550,HCP,-0.0,,,,,,,,,,,,,,,,,,,-0.00999999999999801,,,,45.48333333333333,45.636666666666656,45.87333333333332,46.02666666666666,45.246666666666655,45.09333333333333,44.856666666666655,,,,,,,,,0.17948717948717996,,,
2,2012-08-15,45.34,45.63,45.27,45.3,1276777,HCP,-0.0,,,,,,,,,,,17563.03999999991,,,,,,,,-0.10000000000000142,,,,45.4,45.529999999999994,45.76,45.88999999999999,45.169999999999995,45.04,44.809999999999995,,,,,,,,,0.08333333333331688,,,
3,2012-08-16,45.44,45.47,45.06,45.29,2066478,HCP,0.0,,,,,,,,,45.32784615384615,,-67862.07999999965,,,,,,,,-0.00999999999999801,,,,45.27333333333333,45.486666666666665,45.68333333333334,45.89666666666666,45.07666666666667,44.86333333333334,44.66666666666667,,,,,,,0.3200028864193898,,0.5609756097560946,,,
4,2012-08-17,45.44,45.44,44.86,44.99,2330177,HCP,-0.0,,,0.015036508488400461,0.0769825832212334,,,,,45.19815165876778,,-326553.99999999494,,45.278000000000006,,,,,,-0.29999999999999716,,-1424596.4,,45.096666666666664,45.33333333333333,45.67666666666666,45.91333333333333,44.75333333333333,44.516666666666666,44.17333333333333,-0.009249064082801028,,0.036886757654001366,,0.17020575783444905,,0.2832016476223421,,0.22413793103448784,,,
5,2012-08-20,44.97,45.27,44.89,45.2,1912758,HCP,0.0,,,0.013678773087170826,0.4418203425162791,,,,,45.19882706766918,,13834.799999999432,,45.236000000000004,,,,,,0.21000000000000085,,-1042044.8,,45.120000000000005,45.35000000000001,45.500000000000014,45.73000000000001,44.970000000000006,44.74,44.59,-0.004405286343612241,,0.03688675765400136,,0.15469324484281488,,0.4778164472208897,,0.8157894736842111,,,
6,2012-08-21,45.32,45.48,45.11,45.28,1631626,HCP,-0.0,,,0.011525166111284861,0.6304992453417534,,,,,45.2275667799903,,-202579.7899999994,,45.212,,,,,,0.0799999999999983,,-425809.6,,45.29,45.47,45.66,45.839999999999996,45.1,44.92,44.730000000000004,-0.00044150110375267156,,0.5282384775274486,,0.1302689525558528,,0.4713170571878266,,0.45945945945946726,,,
7,2012-08-22,44.99,45.32,44.61,45.31,2365564,HCP,0.0,,,0.01167980937908722,0.6817868851174153,,,,,45.25616019032514,,49808.65999999974,,45.214,,,,,,0.030000000000001137,,302658.6,,45.080000000000005,45.55000000000001,45.790000000000006,46.26000000000001,44.84000000000001,44.370000000000005,44.13000000000001,0.000441598586884591,,0.19560276870243898,,0.13202272531651238,,0.6498145637744754,,0.9859154929577493,,,
8,2012-08-23,45.13,45.17,44.37,44.4,2638621,HCP,-0.0,,,0.033472659862604795,0.07810237481167812,,,,-384708.7169856464,44.963151635282465,,-886155.6000000025,,45.035999999999994,,,,,,-0.9100000000000037,,188230.0,,44.64666666666667,44.92333333333334,45.446666666666665,45.72333333333334,44.123333333333335,43.846666666666664,43.32333333333333,-0.01311402533896429,,0.1374422410647367,,0.37686867739306734,,0.4402586797348153,,0.03750000000000122,,,
9,2012-08-24,44.35,44.92,44.26,44.83,936302,HCP,0.0,,,0.03451856562289908,0.3879929416607387,,,,79019.0569835433,44.91798448944421,,686045.7600000057,,45.004,,,,,,0.4299999999999997,,841525.8,,44.669999999999995,45.07999999999999,45.330000000000005,45.739999999999995,44.41999999999999,44.00999999999999,43.759999999999984,-0.008185840707964702,,0.11542075044077982,,0.3883683818232375,,0.5838751028668117,,0.8636363636363592,,,
