,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,11.23,11.24,11.1,11.22,8193426,KR,0.0,,,,,,,,,,,,,,,,,,,,,,,11.186666666666667,11.273333333333335,11.32666666666667,11.413333333333336,11.133333333333335,11.046666666666667,10.993333333333334,,,,,,,,,0.8571428571428608,0.0,0.0,
1,2012-08-14,11.24,11.24,11.12,11.18,9585628,KR,,,,,,,,,,,,,,,,,,,,-0.040000000000000924,,,,11.18,11.24,11.300000000000002,11.360000000000001,11.12,11.059999999999999,10.999999999999998,,,,,,,,,0.5,,,
2,2012-08-15,11.06,11.1,10.98,11.04,12612840,KR,-0.0,,,,,,,,,,,-795494.5200000065,,,,,,,,-0.14000000000000057,,,,11.04,11.099999999999998,11.16,11.219999999999997,10.979999999999999,10.92,10.86,,,,,,,,,0.4999999999999926,,,
3,2012-08-16,11.02,11.11,10.98,11.06,8175266,KR,0.0,,,,,,,,,11.096307692307692,,169243.4399999989,,,,,,,,0.02000000000000135,,,,11.049999999999999,11.119999999999997,11.179999999999996,11.249999999999996,10.989999999999998,10.92,10.86,,,,,,,0.5918850380388847,,0.6153846153846206,,,
4,2012-08-17,11.1,11.1,10.99,11.02,9164476,KR,-0.0,,,0.03238069892542399,0.2663780662677591,,,,,11.06701421800948,,68967.27999999853,,11.104,,,,,,-0.040000000000000924,,-4637535.6,,11.036666666666667,11.083333333333334,11.146666666666667,11.193333333333333,10.973333333333334,10.926666666666668,10.863333333333335,-0.017825311942959096,,0.09090909090908986,,0.08988882021697697,,0.46936475846428316,,0.2727272727272683,,,
5,2012-08-20,11.05,11.08,10.99,11.06,6585112,KR,0.0,,,0.02261918474349468,0.45208425762500914,,,,,11.064451127819552,,-0.0,,11.072,,,,,,0.040000000000000924,,-3320513.2,,11.043333333333335,11.09666666666667,11.133333333333335,11.18666666666667,11.00666666666667,10.953333333333335,10.91666666666667,-0.01073345259391764,,0.09090909090908983,,0.06260990336999327,,0.5820630497322233,,0.7777777777777821,,,
6,2012-08-21,11.06,11.14,11.0,11.0,9141600,KR,-0.0,,,0.009451543900256563,0.15486575501865105,,,,,11.041631860126278,,457.51999999999026,,11.036,,,,,,-0.0600000000000005,,-3231707.6,,11.046666666666667,11.093333333333334,11.186666666666667,11.233333333333334,10.953333333333333,10.906666666666666,10.813333333333333,-0.0036231884057970243,,0.6358869793183839,,0.02607680962080786,,0.3759805032267397,,0.0,,,
7,2012-08-22,11.01,11.06,10.92,10.98,7764726,KR,-0.0,,,0.012981526719881818,0.19254065309376778,,,,,11.020253766851708,,-94369.12000000008,,11.024,,,,,,-0.019999999999999574,,-2262084.8,,10.986666666666666,11.053333333333333,11.126666666666667,11.193333333333333,10.913333333333332,10.846666666666666,10.773333333333332,-0.007233273056057872,,0.30008522805377785,,0.035777087639994286,,0.39422258946446187,,0.4285714285714304,,,
8,2012-08-23,10.94,10.96,10.84,10.84,7069558,KR,-0.0,,,0.030479418088672428,0.08166998673295708,,,,-2193877.9047823343,10.958564498461222,,331526.7200000003,,10.979999999999999,,,,,,-0.14000000000000057,,-5311049.6,,10.88,10.920000000000002,11.000000000000004,11.040000000000003,10.8,10.76,10.68,-0.016333938294010864,,0.1725304358547182,,0.0836660026534058,,0.25930555803801913,,0.0,,,
9,2012-08-24,10.82,10.92,10.78,10.9,9066834,KR,0.0,,,0.03157612020509551,0.33812594847799055,,,,1549179.9329916406,10.9386984920293,,-104168.64000000009,,10.956,,,,,,0.0600000000000005,,-1664787.6,,10.866666666666667,10.953333333333335,11.00666666666667,11.093333333333335,10.813333333333334,10.726666666666667,10.673333333333334,-0.014466546112115744,,0.11928966963482868,,0.0864869932417566,,0.4621014487451384,,0.8571428571428608,,,
10,2012-08-27,10.9,11.06,10.86,11.0,7477982,KR,0.0,,,0.026050481990065443,0.6964247366432208,,,,1871947.950170051,10.959371327077825,,65347.840000000055,,10.943999999999999,,,,,,0.09999999999999964,,-1486213.6,,10.973333333333334,11.08666666666667,11.173333333333336,11.28666666666667,10.886666666666668,10.773333333333333,10.686666666666667,0.0,,0.5614108304588955,0.4735270764343193,0.07127411872481905,,0.542328472046518,,0.6999999999999991,-0.0012670596937136335,,
11,2012-08-28,10.98,11.12,10.98,11.1,7471980,KR,0.0,,,0.03626347651160584,0.8420585455488607,,,,2526657.826317273,11.006611648920536,,-318970.7999999989,,10.963999999999999,,,,,,0.09999999999999964,,1836502.4,,11.066666666666668,11.153333333333336,11.206666666666667,11.293333333333335,11.013333333333337,10.92666666666667,10.873333333333338,0.010928961748633809,,0.6629356601732161,0.5587447441647498,0.09939818911831158,,0.6480816770198495,,0.857142857142859,-0.0004098427947978028,,
12,2012-08-29,11.13,11.18,11.07,11.08,8874856,KR,-0.0,,,0.04100710345304907,0.7131334499976228,,,,-1276357.0117453611,11.03120077723719,,111749.9200000001,,10.983999999999998,,,,,,-0.019999999999999574,,1614476.4,,11.11,11.149999999999999,11.219999999999999,11.259999999999998,11.04,11.0,10.93,0.02214022140221404,,0.7454336545145479,0.6296004352886447,0.11260550608207272,,0.4613982591084107,,0.09090909090908944,0.00022768214864106722,,
13,2012-08-30,11.07,11.14,11.02,11.1,6981560,KR,0.0,,0.13283806700559903,0.03134722480672647,0.6849989160251632,,,,241583.57977023436,11.054212678468968,,-0.0,,11.035999999999996,,,,,0.42857142857142855,0.019999999999999574,,4424700.0,,11.086666666666666,11.153333333333332,11.206666666666667,11.273333333333333,11.033333333333331,10.966666666666665,10.91333333333333,0.018348623853210944,,0.5798572453715292,0.5436285372827406,0.0864869932417583,,0.5300562487054689,,0.6666666666666617,0.000697524612487027,,
14,2012-08-31,11.15,11.22,11.12,11.14,8653002,KR,-0.0,,0.1308997531204172,0.018682322779567537,0.7704335932501982,,,,-1486212.7114383765,11.082873904758818,,-13311.24000000011,,11.083999999999996,,,,,0.5,0.040000000000000924,,4341933.6,,11.160000000000002,11.200000000000005,11.260000000000003,11.300000000000006,11.100000000000003,11.06,11.000000000000002,0.01272727272727278,,0.7194467542816807,0.6372832706384407,0.05176871642218163,,0.41978567883921536,,0.20000000000001067,0.0011088522287557884,,
15,2012-09-04,11.13,11.22,11.02,11.17,11732310,KR,0.0,,0.1411516989918196,0.013071345295619907,0.8578132236660458,,,,1383787.7983664381,11.111960218639855,,332552.50000000134,,11.117999999999995,,,,,0.5,0.02999999999999936,,5192799.2,,11.136666666666668,11.253333333333337,11.33666666666667,11.453333333333338,11.053333333333336,10.936666666666667,10.853333333333335,0.006306306306306332,,0.4549356455398816,0.48902917457692685,0.036331804249175516,,0.530024951776995,,0.7499999999999978,0.0014547879493436479,,
16,2012-09-05,11.2,11.39,11.18,11.28,21210132,KR,-0.0,,0.15267667815558691,0.028191850825941344,0.9006972079103914,,,,278531.2069233015,11.168030388029011,,1757998.1999999848,,11.153999999999995,,,,,0.5714285714285714,0.10999999999999943,,7940429.6,,11.283333333333333,11.386666666666667,11.493333333333332,11.596666666666668,11.176666666666666,11.073333333333332,10.966666666666665,0.018050541516245425,,0.7093034348385441,0.6517810938413016,0.0786129760281374,,0.5120618948110767,,0.47619047619047256,0.0020102990813273274,,
17,2012-09-06,11.32,11.6,11.22,11.55,22553066,KR,0.0,,0.18548272448770356,0.06457198797599764,0.9158028656121293,,,,5322418.020670152,11.295439802259718,,4111887.2800000086,,11.247999999999996,,,,,0.5714285714285714,0.27000000000000135,,14226014.0,,11.456666666666669,11.693333333333337,11.836666666666668,12.073333333333336,11.313333333333338,11.07666666666667,10.933333333333339,0.04054054054054064,,0.8391340096934418,0.7623075841900981,0.1815764301885053,,0.6309287107323057,,0.8684210526315814,0.003315766991631218,,
