,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,165.75,167.22,164.57,166.32,120028,MTD,0.0,,,,,,,,,,,,,,,,,,,,,,,166.03666666666666,167.50333333333333,168.68666666666667,170.15333333333334,164.85333333333332,163.38666666666666,162.20333333333332,,,,,,,,,0.6603773584905647,0.0,0.0,
1,2012-08-14,166.89,166.89,164.44,165.14,123830,MTD,-0.0,,,,,,,,,,,,,,,,,,,-1.1800000000000068,,,,165.48999999999998,166.53999999999996,167.94,168.98999999999995,164.08999999999997,163.04,161.64,,,,,,,,,0.2857142857142824,,,
2,2012-08-15,164.85,166.27,164.07,166.16,145363,MTD,0.0,,,,,,,,,,,-4053.5999999999135,,,,,,,,1.0200000000000102,,,,165.5,166.93,167.7,169.13000000000002,164.73,163.29999999999998,162.52999999999997,,,,,,,,,0.9499999999999942,,,
3,2012-08-16,164.0,165.93,162.39,165.01,159653,MTD,0.0,,,,,,,,,165.5136923076923,,-4656.989999999837,,,,,,,,-1.1500000000000057,,,,164.44333333333333,166.49666666666667,167.98333333333335,170.0366666666667,162.95666666666665,160.9033333333333,159.41666666666663,,,,,,,0.7045329406762053,,0.7401129943502794,,,
4,2012-08-17,165.0,165.52,162.77,163.78,174426,MTD,-0.0,,,0.02479422172536346,0.13348319451756488,,,,,164.84815165876776,,-69169.93999999987,,165.28199999999998,,,,,,-1.2299999999999898,,-62509.2,,164.02333333333334,165.27666666666667,166.77333333333334,168.02666666666667,162.52666666666667,161.27333333333334,159.77666666666667,-0.015271765271765225,,0.0,,1.0245096388028807,,0.5750633800805561,,0.367272727272724,,,
5,2012-08-20,163.76,164.8,161.52,162.76,220215,MTD,-0.0,,,0.032031090488213454,0.1566348758932999,,,,,164.0851127819549,,-136264.5,,164.57,,,,,,-1.0200000000000102,,-106552.2,,163.02666666666667,164.53333333333333,166.3066666666667,167.81333333333333,161.25333333333333,159.74666666666667,157.97333333333333,-0.014412014048685936,,0.0,,1.317839140411322,,0.5030715790263607,,0.37804878048779883,,,
6,2012-08-21,163.65,166.62,162.99,164.98,206028,MTD,0.0,,,0.031661746478687844,0.5848440103366873,,,,,164.40195240407968,,37922.39999999964,,164.53799999999998,,,,,,2.219999999999999,,-40580.6,,164.86333333333334,166.73666666666668,168.49333333333334,170.36666666666667,163.10666666666668,161.23333333333335,159.4766666666667,-0.007101588830043373,,0.5282117990350182,,1.302390110527585,,0.5190528548830646,,0.5482093663911799,,,
7,2012-08-22,164.38,165.23,162.94,164.32,163968,MTD,0.0,,,0.022870665062551223,0.5399501732562794,,,,,164.3735257731959,,-87745.32000000012,,164.17000000000002,,,,,,-0.6599999999999966,,-102446.8,,164.16333333333333,165.38666666666666,166.45333333333332,167.67666666666665,163.09666666666666,161.87333333333333,160.80666666666667,-0.004181564753651281,,0.5176944031866474,,0.9386692708297587,,0.548039617353343,,0.6026200873362446,,,
8,2012-08-23,163.84,164.9,161.62,162.95,212509,MTD,-0.0,,,0.022712770067539297,0.28276053186793876,,,,-14659.806350584324,163.88634447863964,,-13156.430000000008,,163.75799999999998,,,,,,-1.3700000000000045,,-113018.0,,163.15666666666667,164.69333333333333,166.43666666666667,167.97333333333333,161.41333333333333,159.87666666666667,158.13333333333333,-0.005067773842960145,,0.29822437439483884,,0.929849450180025,,0.49925330252102135,,0.4054878048780438,,,
9,2012-08-24,163.17,163.49,161.1,162.45,248460,MTD,0.0,,,0.026843259054040648,0.26256979375981393,,,,1243.5220184908903,163.3991136579061,,-158000.0400000004,,163.49200000000002,,,,,,-0.5,,-127824.8,,162.34666666666666,163.59333333333333,164.7366666666667,165.98333333333335,161.20333333333332,159.95666666666665,158.8133333333333,-0.0019046448758908963,,0.24171053864415268,,1.0971645273158035,,0.5215059487731519,,0.5648535564853497,,,
