,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,74.42,74.47,73.91,74.28,874029,NSC,0.0,,,,,,,,,,,,,,,,,,,,,,,74.22,74.53,74.78,75.09,73.97,73.66,73.41,,,,,,,,,0.6607142857142911,0.0,0.0,
1,2012-08-14,74.73,74.81,73.91,74.09,897172,NSC,-0.0,,,,,,,,,,,,,,,,,,,-0.18999999999999773,,,,74.27,74.63,75.16999999999999,75.53,73.72999999999999,73.36999999999999,72.82999999999998,,,,,,,,,0.2000000000000063,,,
2,2012-08-15,73.8,74.9,73.79,74.72,996471,NSC,0.0,,,,,,,,,,,53874.47999999972,,,,,,,,0.6299999999999955,,,,74.47,75.14999999999999,75.58,76.25999999999999,74.03999999999999,73.36,72.92999999999999,,,,,,,,,0.8378378378378316,,,
3,2012-08-16,74.56,75.15,74.45,74.69,1353707,NSC,-0.0,,,,,,,,,74.53707692307691,,273920.9999999974,,,,,,,,-0.030000000000001137,,,,74.76333333333334,75.07666666666667,75.46333333333335,75.77666666666667,74.37666666666667,74.06333333333333,73.67666666666666,,,,,,,0.49267597267596913,,0.34285714285713415,,,
4,2012-08-17,74.92,75.33,74.83,75.1,1135672,NSC,0.0,,,0.02132213436447756,0.8295349830725984,,,,,74.75317535545022,,52896.379999999364,,74.576,,,,,,0.4099999999999966,,-23747.2,,75.08666666666666,75.34333333333332,75.58666666666666,75.84333333333332,74.84333333333332,74.58666666666666,74.34333333333332,0.011039310716208848,,0.8873934259209677,,0.3975298730913196,,0.5108430163406414,,0.539999999999992,,,
5,2012-08-20,74.97,75.17,74.48,74.83,936052,NSC,0.0,,,0.019832936848955884,0.5972156675673472,,,,,74.78124812030076,,-58471.70000000024,,74.68599999999999,,,,,,-0.269999999999996,,-210957.6,,74.82666666666667,75.17333333333333,75.51666666666667,75.86333333333333,74.48333333333333,74.13666666666667,73.79333333333334,0.009987852611688417,,0.46674751805054415,,0.37031068037527975,,0.5095287555804008,,0.5072463768115877,,,
6,2012-08-21,74.83,75.56,74.66,74.88,1025839,NSC,-0.0,,,0.008705057140971915,0.5552552927811093,,,,,74.8162117532783,,24163.259999999875,,74.84399999999998,,,,,,0.04999999999999716,,173644.6,,75.03333333333333,75.40666666666667,75.93333333333334,76.30666666666667,74.50666666666666,74.13333333333333,73.60666666666665,0.002141327623126293,,0.6934410291898272,,0.16288032416472545,,0.4156742325992866,,0.24444444444444163,,,
7,2012-08-22,74.83,74.91,74.27,74.67,1133183,NSC,0.0,,,0.009278133081729924,0.2637976082595607,,,,,74.76549563838223,,-31540.959999999326,,74.83399999999999,,,,,,-0.20999999999999375,,-252286.2,,74.61666666666667,74.96333333333335,75.25666666666667,75.60333333333335,74.32333333333335,73.97666666666667,73.68333333333335,-0.00026777346364969905,,0.43471546981722464,,0.17357995275954427,,0.4882825519181412,,0.6250000000000083,,,
8,2012-08-23,74.58,74.58,72.94,73.58,1861689,NSC,-0.0,,,0.032008314297508486,0.06787617375771764,,,,-87853.71952519071,74.35977674612697,,-1086604.9999999977,,74.612,,,,,,-1.0900000000000034,,-353882.6,,73.69999999999999,74.45999999999998,75.33999999999997,76.09999999999998,72.81999999999998,72.05999999999999,71.17999999999998,-0.020239680426098482,,0.15629758317934056,,0.5970510865914257,,0.45473022917897876,,0.3902439024390246,,,
9,2012-08-24,73.42,73.8,73.19,73.6,1549551,NSC,0.0,,,0.03572392826696668,0.23179810928513386,,,,143238.42881941018,74.10204842740198,,-445513.7600000031,,74.31199999999998,,,,,,0.01999999999999602,,-271106.8,,73.53,73.87,74.13999999999999,74.48,73.26,72.92,72.65,-0.016437257784311158,,0.1562975831793406,,0.6636791393437068,,0.5284760676299782,,0.6721311475409787,,,
