,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,46.13,46.32,46.0,46.23,502751,NTRS,0.0,,,,,,,,,,,,,,,,,,,,,,,46.18333333333333,46.36666666666666,46.50333333333333,46.68666666666666,46.04666666666666,45.86333333333333,45.72666666666666,,,,,,,,,0.7187499999999896,0.0,0.0,
1,2012-08-14,46.64,46.66,46.23,46.33,879918,NTRS,-0.0,,,,,,,,,,,,,,,,,,,0.10000000000000142,,,,46.40666666666666,46.58333333333332,46.836666666666666,47.01333333333332,46.15333333333332,45.97666666666666,45.72333333333332,,,,,,,,,0.2325581395348872,,,
2,2012-08-15,46.17,46.62,46.15,46.49,467231,NTRS,0.0,,,,,,,,,,,-9235.200000000183,,,,,,,,0.1600000000000037,,,,46.419999999999995,46.68999999999999,46.88999999999999,47.15999999999999,46.21999999999999,45.949999999999996,45.74999999999999,,,,,,,,,0.723404255319158,,,
3,2012-08-16,46.37,47.31,46.37,47.18,796086,NTRS,0.0,,,,,,,,,46.71507692307692,,-71257.20000000011,,,,,,,,0.6899999999999977,,,,46.95333333333334,47.53666666666668,47.89333333333335,48.47666666666669,46.59666666666668,46.013333333333335,45.65666666666667,,,,,,,0.6896604879534132,,0.8617021276595724,,,
4,2012-08-17,47.3,47.39,47.01,47.24,1038046,NTRS,0.0,,,0.04116603985112795,0.7840484825990249,,,,,46.91658767772512,,428111.25,,46.694,,,,,,0.060000000000002274,,636256.2,,47.21333333333334,47.41666666666668,47.59333333333334,47.79666666666668,47.036666666666676,46.833333333333336,46.65666666666667,0.02184728531256771,,0.9446618443416748,,0.4805517662021421,,0.6572615129071939,,0.6052631578947433,,,
5,2012-08-20,47.01,47.14,46.66,47.1,814657,NTRS,0.0,,,0.03625651684913586,0.6365291808025516,,,,,46.9836090225564,,-1485.6799999999682,,46.86800000000001,,,,,,-0.14000000000000057,,473324.8,,46.96666666666667,47.27333333333334,47.44666666666667,47.753333333333345,46.79333333333334,46.486666666666665,46.31333333333333,0.01661990071228153,,0.5675913171519495,,0.42481760792132495,,0.752051666837348,,0.9166666666666692,,,
6,2012-08-21,47.15,47.72,46.85,46.95,726272,NTRS,-0.0,,,0.025616998687244496,0.4651103096382056,,,,,46.97170956775134,,90414.45999999973,,46.99200000000002,,,,,,-0.14999999999999858,,152086.8,,47.173333333333325,47.49666666666665,48.043333333333315,48.366666666666646,46.62666666666665,46.30333333333333,45.75666666666665,0.009894600989460116,,0.775494511348211,,0.30094850057774847,,0.5264797573297476,,0.11494252873563415,,,
7,2012-08-22,46.99,47.08,46.6,46.88,757319,NTRS,0.0,,,0.012915814024702594,0.1874729448940514,,,,,46.93989849325933,,12614.359999999935,,47.070000000000014,,,,,,-0.07000000000000028,,-92823.2,,46.85333333333333,47.10666666666666,47.333333333333336,47.58666666666666,46.626666666666665,46.373333333333335,46.14666666666667,-0.006358626536668019,,0.6010935500655458,,0.1519868415356878,,0.546200418823777,,0.5833333333333395,,,
8,2012-08-23,46.74,46.83,46.16,46.18,821639,NTRS,-0.0,,,0.03499039897589048,0.07926829268291201,,,,-286054.10028517025,46.67983412445883,,-73432.5900000003,,46.87000000000002,,,,,,-0.7000000000000028,,-416368.2,,46.38999999999999,46.61999999999999,47.06,47.28999999999999,45.94999999999999,45.71999999999999,45.27999999999999,-0.02243861134631673,,0.3867719891770015,,0.40999999999999687,,0.3694871434790316,,0.029850746268661306,,,
9,2012-08-24,46.07,46.54,45.96,46.47,777902,NTRS,0.0,,,0.03251787395458988,0.33806254336952113,,,,51983.58423379434,46.608655062473076,,-8439.030000000075,,46.71600000000001,,,,,,0.28999999999999915,,-468397.0,,46.32333333333333,46.68666666666666,46.90333333333333,47.26666666666666,46.10666666666666,45.74333333333333,45.526666666666664,-0.013375796178344003,,0.315244004855943,,0.3797762499156553,,0.5424272567430313,,0.8793103448275854,,,
