,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2013-06-19,15.28,16.25,15.2,15.8,31981441,NWSA,0.0,,,,,,,,,,,,,,,,,,,,,,,15.75,16.3,16.8,17.35,15.25,14.7,14.2,,,,,,,,,0.5714285714285724,0.0,0.0,
1,2013-06-20,16.37,16.37,15.25,15.3,9274128,NWSA,-0.0,,,,,,,,,,,,,,,,,,,-0.5,,,,15.64,16.03,16.760000000000005,17.150000000000002,14.91,14.52,13.79,,,,,,,,,0.04464285714285774,,,
2,2013-06-21,15.7,15.8,15.4,15.62,8323460,NWSA,0.0,,,,,,,,,,,4258436.580000035,,,,,,,,0.3199999999999985,,,,15.606666666666667,15.813333333333334,16.006666666666668,16.213333333333335,15.413333333333334,15.206666666666667,15.013333333333334,,,,,,,,,0.5499999999999967,,,
3,2013-06-24,15.64,15.84,15.2,15.53,4279641,NWSA,0.0,,,,,,,,,15.545692307692304,,-1148732.0099999933,,,,,,,,-0.08999999999999986,,,,15.523333333333333,15.846666666666668,16.163333333333334,16.486666666666668,15.206666666666667,14.883333333333333,14.566666666666666,,,,,,,0.4450618131868123,,0.5156249999999997,,,
4,2013-06-25,15.55,15.74,15.35,15.72,3577259,NWSA,0.0,,,0.049593197479633644,0.6629261913267024,,,,,15.612606635071089,,-474620.1000000067,,15.594,,,,,,0.19000000000000128,,-330610.0,,15.603333333333333,15.856666666666667,15.993333333333334,16.24666666666667,15.466666666666667,15.213333333333333,15.076666666666666,-0.005063291139240511,,0.23437500000000056,,0.19333908037435174,,0.6384084813290973,,0.9487179487179499,,,
5,2013-06-26,15.69,15.69,15.18,15.4,14755072,NWSA,-0.0,,,0.043281938002306494,0.3302247550941973,,,,,15.534917293233084,,-1361806.0299999896,,15.514000000000001,,,,,,-0.3200000000000003,,-3281624.4,,15.423333333333332,15.666666666666664,15.93333333333333,16.176666666666662,15.156666666666665,14.913333333333332,14.646666666666665,0.006535947712418277,,0.10299792630841759,,0.16786899654194576,,0.5627547496731491,,0.43137254901960925,,,
6,2013-06-27,15.34,15.87,14.85,15.5,12121663,NWSA,0.0,,,0.03126476104498727,0.3889556282228411,,,,,15.522554638173872,,-1879768.8800000055,,15.554000000000002,,,,,,0.09999999999999964,,997533.8,,15.406666666666666,15.963333333333333,16.426666666666662,16.983333333333334,14.943333333333333,14.386666666666667,13.923333333333334,-0.007682458386683689,,0.040817837068256424,,0.12157302332343302,,0.5891319284092766,,0.6372549019607849,,,
7,2013-06-28,15.5,15.77,15.25,15.25,16988018,NWSA,-0.0,,,0.044718522738699515,0.16774660192223015,,,,,15.42801427438541,,-334941.9000000008,,15.48,,,,,,-0.25,,-4064761.8,,15.423333333333332,15.596666666666664,15.943333333333332,16.116666666666664,15.076666666666664,14.903333333333332,14.556666666666665,-0.01802962009014806,,0.04081783706825643,,0.17306068299876712,,0.38478117068824763,,0.0,,,
8,2013-07-01,15.59,15.59,14.75,14.79,25839303,NWSA,-0.0,,,0.090740260364531,0.11041658976674266,,,,-7852018.30771408,15.209663032705649,,-9739524.400000012,,15.331999999999999,,,,,,-0.46000000000000085,,-8376694.2,,15.043333333333331,15.336666666666662,15.883333333333333,16.176666666666662,14.496666666666663,14.203333333333331,13.656666666666663,-0.05916030534351154,,0.014615313262675882,,0.34780741797724735,,0.26939226612108746,,0.04761904761904661,,,
9,2013-07-02,14.69,15.12,14.69,15.0,30520096,NWSA,0.0,,,0.0767701186795499,0.33876287384448794,,,,2242568.6641959404,15.138542007755277,,-3383019.5,,15.187999999999999,,,,,,0.21000000000000085,,-2988126.8,,14.936666666666667,15.183333333333335,15.366666666666665,15.613333333333335,14.753333333333336,14.506666666666668,14.323333333333336,-0.025974025974025997,,0.013192554363793687,,0.29149614062625095,,0.4225611035770207,,0.7209302325581411,,,
10,2013-07-03,14.95,15.09,14.73,14.87,8542595,NWSA,-0.0,,,0.07730967792766227,0.31817941093101715,,,,1530168.5103375786,15.047981027875657,,-1383736.6400000013,,15.081999999999999,,,,,,-0.13000000000000078,,-1745631.4,,14.896666666666667,15.063333333333333,15.256666666666664,15.423333333333332,14.703333333333333,14.536666666666667,14.343333333333334,-0.04064516129032263,,0.013192554363793685,0.03603513052685902,0.29149614062625057,,0.4112057525749039,,0.3888888888888862,-0.004484036582665083,,
11,2013-07-05,14.95,15.95,14.89,15.66,12426989,NWSA,0.0,,,0.09301795646521498,0.8883706757125494,,,,3355633.7917855233,15.253571912125839,,-11941450.620000003,,15.113999999999999,,,,,,0.7900000000000009,,-1684566.2,,15.5,16.11,16.56,17.169999999999998,15.05,14.440000000000001,13.990000000000002,0.026885245901639352,,0.7357807711034727,0.5937127250646798,0.35146834850381475,,0.51709163234165,,0.7264150943396231,-0.0023265355911968925,,
12,2013-07-08,15.63,16.04,15.5,15.96,15345054,NWSA,0.0,,,0.13690084635958213,0.8370744589029773,,,,5345586.645209817,15.490264120681081,,7414680.310000011,,15.256,,,,,,0.3000000000000007,,4782048.2,,15.833333333333334,16.166666666666668,16.373333333333335,16.706666666666667,15.626666666666669,15.293333333333335,15.08666666666667,0.07910750507099404,,0.7613805594466552,0.620841927239235,0.5221398280154462,,0.6292546918977161,,0.8518518518518547,0.000624821680844981,,
13,2013-07-09,15.79,15.97,15.5,15.71,9936359,NWSA,-0.0,,0.6116984663656588,0.1235808321426741,0.6415029040420719,,,,2013162.6890146234,15.563761177027162,,-124531.50000000178,,15.440000000000003,,,,,0.2857142857142857,-0.25,,7962637.0,,15.726666666666667,15.953333333333333,16.196666666666665,16.423333333333332,15.483333333333333,15.256666666666666,15.013333333333332,0.04733333333333339,,0.7613805594466551,0.620841927239235,0.4770220120707221,,0.5682302597216283,,0.4468085106382991,0.00228117698124274,,
14,2013-07-10,15.5,15.57,15.14,15.39,16326945,NWSA,0.0,,0.6054027587398846,0.10695546581994657,0.4228792510382075,,,,1617895.2527493949,15.505708211550616,,-559677.8700000002,,15.518000000000004,,,,,0.2857142857142857,-0.3200000000000003,,-1406771.2,,15.366666666666667,15.593333333333334,15.796666666666667,16.023333333333333,15.163333333333334,14.936666666666667,14.733333333333334,0.03496973772696714,,0.4326996153933859,0.45216319272212924,0.41493372964848285,,0.5726286672197717,,0.5813953488372097,0.002257154967914781,,
15,2013-07-11,15.6,15.6,14.96,15.13,17029504,NWSA,-0.0,,0.6105357222344526,0.08182714609445337,0.15464427521939214,,,,-1998172.843128853,15.380281186058507,,-4114024.1000000006,,15.570000000000002,,,,,0.2857142857142857,-0.2599999999999998,,-3104153.0,,15.230000000000002,15.500000000000004,15.870000000000001,16.14,14.860000000000005,14.590000000000003,14.220000000000006,-0.03384418901660277,,0.33228773617304197,0.3896124099608341,0.31851216617265976,,0.470138075822735,,0.2656250000000004,0.0010585200713409402,,
16,2013-07-12,15.07,15.12,14.9,14.93,10426227,NWSA,-0.0,,0.5549141525399304,0.10854385350703846,0.20493024465288173,,,,-3160101.514470118,15.23003496358253,,2714330.280000005,,15.424000000000001,,,,,0.2857142857142857,-0.20000000000000107,,-7674796.2,,14.983333333333334,15.066666666666668,15.203333333333331,15.286666666666667,14.84666666666667,14.763333333333335,14.62666666666667,-0.06453634085213039,,0.2998190584293016,0.36947726877763476,0.41854509912314036,,0.3587668921258643,,0.13636363636363416,-0.0006770014396023985,,
17,2013-07-15,14.93,15.03,14.39,14.67,20636307,NWSA,-0.0,,0.5671932721275497,0.10624816525862693,0.19218542085479756,,,,-1774567.7034715551,15.043230242938456,,-1659129.3800000031,,15.166000000000002,,,,,0.2857142857142857,-0.2599999999999998,,-14871068.4,,14.696666666666667,15.003333333333334,15.336666666666666,15.643333333333333,14.363333333333335,14.056666666666668,13.723333333333336,-0.06619987269255256,,0.13862675377752678,0.24321341966854346,0.40283991857808404,,0.3850290314176377,,0.43749999999999983,-0.0027197193836620993,,
18,2013-07-16,14.57,15.34,14.57,15.28,9328491,NWSA,0.0,,0.5961433144418598,0.07609542858239116,0.6742890435939392,,,,2237497.7550054155,15.122189113085104,15.266513432854728,-384207.5999999996,,15.080000000000002,,,,,0.2857142857142857,0.6099999999999994,,-11018098.4,,15.063333333333333,15.556666666666665,15.833333333333332,16.326666666666664,14.786666666666665,14.293333333333333,14.016666666666666,-0.0071474983755686295,,0.40901212578310986,0.3923783485854992,0.2868797657556147,,0.5641261177445225,0.5005219929473883,0.9220779220779214,-0.0027426476955687254,,
19,2013-07-17,15.36,15.96,15.29,15.89,13411070,NWSA,0.0,,0.6080019678918547,0.12069546762159383,0.8875213330946224,0.09853645439049809,0.8433464370397458,,4529488.194568601,15.378203066123064,15.33516915070116,-8814789.140000004,,15.180000000000001,15.37,,,,0.35714285714285715,0.6100000000000012,,-5070495.4,-2449000.85,15.713333333333333,16.136666666666667,16.383333333333333,16.80666666666667,15.466666666666665,15.043333333333331,14.796666666666663,0.050231328486450746,0.00569620253164556,0.6854642255952356,0.5854901518127538,0.4580392996239486,0.3786263259954889,0.6746247712949097,0.5440177747414194,0.8955223880597013,-0.0005810438385256612,,
20,2013-07-18,15.94,16.1,15.33,15.47,10825686,NWSA,-0.0,,0.6307273606386447,0.12427331606486876,0.6171553711192416,0.0953208324999778,0.579603232791583,,-470364.6035498827,15.408808179971958,15.349798505489076,284467.0500000019,,15.248000000000001,15.3535,,,,0.35714285714285715,-0.41999999999999993,,-3829731.8,-2990285.15,15.633333333333333,15.936666666666666,16.403333333333336,16.706666666666667,15.166666666666664,14.863333333333332,14.396666666666663,0.03616878767582056,0.011111111111111106,0.7259851873876135,0.6178974295451759,0.47372988083927975,0.3658771004471023,0.5103229679619189,0.5047185611232615,0.18181818181818224,0.0006652218510033085,,
21,2013-07-19,15.35,16.08,15.26,15.97,11658659,NWSA,0.0,,0.6570956651961934,0.13580916531877776,0.7448707604064958,0.10153012283623357,0.8731811419789262,,2402885.409977286,15.59589712576261,15.41621047131148,-140192.88000000012,,15.456,15.387,,,,0.35714285714285715,0.5,,587245.4,-1943645.8,15.769999999999998,16.279999999999994,16.589999999999996,17.099999999999994,15.459999999999997,14.95,14.639999999999999,0.08861622358554878,0.02240717029449433,0.665931802305922,0.5906120095568846,0.5247666147917572,0.3905610000202815,0.6288490400142762,0.543389367238614,0.865853658536588,0.0025041106116022835,,
22,2013-07-22,16.09,16.12,15.61,15.73,6141531,NWSA,-0.0,,0.6367250257165227,0.07378051311999485,0.5536335390722057,0.10258678012089212,0.7137338043408823,0.028337897248666657,-370670.14190506213,15.64060206726608,15.449418168955068,-1217880.299999999,,15.668000000000001,15.392500000000002,,,,0.42857142857142855,-0.2400000000000002,,3486200.6,-2666895.35,15.82,16.03,16.330000000000002,16.540000000000003,15.52,15.309999999999999,15.009999999999998,0.029450261780104785,0.012878300064391569,0.6866668959505042,0.6024669695396977,0.28899826989101984,0.39476675325270805,0.49765237564089304,0.5107842833895018,0.23529411764706004,0.0033574205184871532,,
23,2013-07-23,15.69,15.86,15.54,15.65,9298361,NWSA,-0.0,,0.5930879852606641,0.05025734088202933,0.3837137373223968,0.10335197555342658,0.6580304546374317,0.032484419863566684,-1360633.1514467355,15.643734897610843,15.470422893153883,755295.3600000007,,15.742,15.398500000000002,,,,0.42857142857142855,-0.08000000000000007,,-239169.8,-2917831.35,15.683333333333332,15.826666666666664,16.00333333333333,16.146666666666665,15.506666666666664,15.363333333333332,15.186666666666664,-0.01510383889238516,-0.004452926208651418,0.5960299914401317,0.5684240976190047,0.19778776504122644,0.39786634888985983,0.4463485361487656,0.4932926240698847,0.34375000000000344,0.003376641297734467,,
24,2013-07-24,15.65,15.88,15.42,15.71,6205168,NWSA,0.0,,0.5748327809693239,0.04575738124329908,0.5055658722878469,0.10324642593611894,0.6962525245099144,0.0307863653288415,-206883.4206515621,15.665824139854893,15.495275537760755,-1272.739999999973,,15.706000000000003,15.398,0.06987788686732976,,,0.42857142857142855,0.0600000000000005,,-1680350.2,-2786435.9,15.670000000000002,15.920000000000003,16.130000000000003,16.380000000000003,15.460000000000003,15.21,15.000000000000002,0.015513897866839056,0.02012987012987016,0.4526389250492286,0.5100355985138775,0.1796663574518139,0.39744711664108984,0.5077130484673499,0.5075191308160977,0.6304347826086965,0.0031636523309148358,,
