,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,564.6,566.8,557.11,562.0,1010888,PCLN,0.0,,,,,,,,,,,,,,,,,,,,,,,561.9699999999999,566.8299999999998,571.66,576.5199999999998,557.1399999999999,552.28,547.4499999999999,,,,,,,,,0.5046439628482989,0.0,0.0,
1,2012-08-14,563.6,568.42,560.64,564.66,1024045,PCLN,0.0,,,,,,,,,,,,,,,,,,,2.659999999999968,,,,564.5733333333333,568.5066666666665,572.3533333333334,576.2866666666665,560.7266666666666,556.7933333333333,552.9466666666666,,,,,,,,,0.5167095115681228,,,
2,2012-08-15,564.82,575.43,563.0,575.31,1090010,PCLN,0.0,,,,,,,,,,,1053113.8199999956,,,,,,,,10.649999999999977,,,,571.2466666666666,579.4933333333331,583.6766666666665,591.9233333333331,567.0633333333332,558.8166666666666,554.6333333333332,,,,,,,,,0.9903459372485917,,,
3,2012-08-16,577.12,589.88,576.68,586.79,1306515,PCLN,0.0,,,,,,,,,576.4743076923077,,6251061.099999999,,,,,,,,11.480000000000018,,,,584.4499999999999,592.2199999999999,597.65,605.42,579.0199999999999,571.2499999999999,565.8199999999998,,,,,,,0.7498990487172911,,0.7659090909090893,,,
4,2012-08-17,588.5,592.24,582.61,588.78,1060628,PCLN,0.0,,,0.08538041069471054,0.7701013584758291,,,,,581.1982938388625,,-395775.5400000008,,575.508,,,,,,1.990000000000009,,896239.6,,587.8766666666667,593.1433333333333,597.5066666666668,602.7733333333333,583.5133333333333,578.2466666666667,573.8833333333333,0.04765124555160138,,1.0,,12.28427734952287,,0.7079813867058283,,0.6407061266874311,,,
5,2012-08-20,585.0,587.62,580.0,586.61,903989,PCLN,0.0,,,0.07089078932588556,0.6501926955937375,,,,,583.1758045112781,,72454.67999997987,,580.4300000000001,,,,,,-2.169999999999959,,715441.8,,584.7433333333333,589.4866666666667,592.3633333333332,597.1066666666667,581.8666666666667,577.1233333333333,574.2466666666667,0.03887295009386187,,0.8217764254151766,,10.28678521210594,,0.7662548628158452,,0.8674540682414711,,,
6,2012-08-21,588.92,599.85,579.81,585.76,1068992,PCLN,-0.0,,,0.03651600035141417,0.5519928737216582,,,,,584.0907527926178,,-25259.279999999846,,584.65,,,,,,-0.8500000000000227,,296834.4,,588.4733333333332,597.1366666666665,608.5133333333333,617.1766666666666,577.0966666666665,568.4333333333332,557.0566666666664,0.01816412021345022,,0.91783804452498,,5.337269901363573,,0.6000794455189501,,0.2969061876247516,,,
7,2012-08-22,585.16,593.31,583.0,591.04,637590,PCLN,0.0,,,0.014458085043368653,0.8817187071485801,,,,,586.5012212529738,,-1180147.5699999866,,587.796,,,,,,5.279999999999973,,206350.4,,589.1166666666667,595.2333333333333,599.4266666666667,605.5433333333333,584.9233333333334,578.8066666666667,574.6133333333335,0.007242795548663065,,0.91783804452498,,2.1246011390379804,,0.6624274913837718,,0.7798254122211451,,,
8,2012-08-23,590.87,597.57,590.17,593.53,983693,PCLN,-0.0,,,0.021693769742781747,0.8431722340834825,,,,-156248.2210606533,588.9067200459026,,-662773.2299999985,,589.144,,,,,,2.490000000000009,,141786.0,,593.7566666666667,597.3433333333334,601.1566666666669,604.7433333333335,589.9433333333333,586.3566666666666,582.5433333333332,0.008067529467712898,,0.9399392036733423,,3.1951885703353526,,0.5911146687704338,,0.4540540540540503,,,
9,2012-08-24,591.2,598.5,586.64,593.18,939642,PCLN,0.0,,,0.02470565556296108,0.7165064976699924,,,,-112798.14936771031,590.3562843601895,,646391.2799999958,,590.024,,,,,,-0.35000000000002274,,-258268.0,,592.7733333333332,598.9066666666664,604.6333333333331,610.7666666666664,587.0466666666664,580.9133333333332,575.1866666666664,0.011199945449276242,,0.716384580224229,,3.644232429470137,,0.5776541497010598,,0.5514333895446843,,,
