,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,103.22,103.6,102.59,103.49,107860,RE,0.0,,,,,,,,,,,,,,,,,,,,,,,103.22666666666667,103.86333333333334,104.23666666666665,104.87333333333333,102.85333333333335,102.21666666666668,101.84333333333336,,,,,,,,,0.8910891089108907,0.0,0.0,
1,2012-08-14,103.94,104.75,103.44,103.98,243678,RE,-0.0,,,,,,,,,,,,,,,,,,,0.4900000000000091,,,,104.05666666666667,104.67333333333335,105.36666666666667,105.98333333333335,103.36333333333334,102.74666666666667,102.05333333333334,,,,,,,,,0.41221374045801934,,,
2,2012-08-15,103.85,104.36,103.5,104.22,140362,RE,0.0,,,,,,,,,,,23726.46000000013,,,,,,,,0.23999999999999488,,,,104.02666666666669,104.55333333333337,104.88666666666668,105.41333333333337,103.69333333333337,103.16666666666669,102.83333333333337,,,,,,,,,0.8372093023255807,,,
3,2012-08-16,104.07,105.03,103.72,104.9,167667,RE,0.0,,,,,,,,,104.3683076923077,,-69930.12000000013,,,,,,,,0.6800000000000068,,,,104.55,105.38,105.85999999999999,106.69,104.07,103.24,102.75999999999999,,,,,,,0.7917793213179508,,0.9007633587786296,,,
4,2012-08-17,104.74,105.16,104.27,104.73,171255,RE,0.0,,,0.02189884165291382,0.7040940722467007,,,,,104.50715639810427,,15755.430000000159,,104.26400000000001,,,,,,-0.1700000000000017,,76090.4,,104.72000000000001,105.17000000000003,105.61,106.06000000000003,104.28000000000003,103.83000000000001,103.39000000000003,0.01198183399362266,,1.0,,0.5708152065248516,,0.6862392431784842,,0.5168539325842783,,,
5,2012-08-20,104.79,105.02,103.99,104.74,137116,RE,0.0,,,0.015047424511203202,0.6437049726404598,,,,,104.59224060150378,,4888.16000000033,,104.51400000000001,,,,,,0.009999999999990905,,103513.6,,104.58333333333333,105.17666666666666,105.61333333333333,106.20666666666666,104.14666666666666,103.55333333333333,103.11666666666666,0.007309097903442882,,0.7238790338148368,,0.3931666313409729,,0.7015559521716326,,0.7281553398058245,,,
6,2012-08-21,104.73,106.12,104.29,105.54,251207,RE,0.0,,,0.018091301469064673,0.8764951508715163,,,,,104.92779990286549,,64761.120000000185,,104.826,,,,,,0.8000000000000114,,105019.4,,105.31666666666668,106.34333333333335,107.14666666666666,108.17333333333335,104.51333333333335,103.48666666666668,102.68333333333335,0.012665515256188902,,0.8903701239508371,,0.47410969194904334,,0.6950073997379326,,0.6830601092896181,,,
7,2012-08-22,105.31,105.57,103.31,103.62,307313,RE,-0.0,,,0.02642808500960772,0.1075425648596829,,,,,104.47416653449646,,-190620.63999999836,,104.70599999999999,,,,,,-1.9200000000000017,,15484.4,,104.16666666666667,105.02333333333334,106.42666666666668,107.28333333333333,102.76333333333335,101.90666666666668,100.50333333333336,-0.012202097235462355,,0.5081844464969593,,0.6917947672539965,,0.5015110543670939,,0.1371681415929219,,,
8,2012-08-23,103.41,103.65,101.99,102.83,271512,RE,0.0,,,0.040856665432267035,0.15688993476954294,,,,-36489.647272833776,103.91147410150752,,-55026.55000000016,,104.292,,,,,,-0.7900000000000063,,-72351.4,,102.82333333333332,103.65666666666665,104.48333333333333,105.31666666666666,101.99666666666664,101.16333333333331,100.33666666666663,-0.018141888666093817,,0.28085321065456076,,1.0652558378154984,,0.5030555783190542,,0.5060240963855409,,,
9,2012-08-24,102.93,103.72,102.3,103.4,209419,RE,0.0,,,0.04207420861050115,0.3569735109374268,,,,14970.800024016375,103.73797397673421,,21536.679999999888,,104.026,,,,,,0.5700000000000074,,3783.4,,103.13999999999999,103.97999999999998,104.55999999999999,105.39999999999998,102.55999999999997,101.71999999999998,101.13999999999997,-0.012793584113041715,,0.30396950192672867,,1.0942029062289982,,0.595183995693347,,0.7746478873239487,,,
10,2012-08-27,103.39,103.95,102.82,102.98,260223,RE,-0.0,,,0.04206162771730262,0.34085113699731745,,,,-55045.121158689224,103.48236083587003,,-1693.3500000000643,,103.674,,,,,,-0.4200000000000017,,-75684.4,,103.25,103.68,104.38,104.81000000000002,102.55,102.11999999999999,101.41999999999999,-0.02425620617775253,,0.3936291013217717,0.45113157231166434,1.090174297990908,,0.44221853382484033,,0.14159292035399065,-0.0016248899493360419,,
11,2012-08-28,103.08,104.48,102.8,103.85,255153,RE,0.0,,,0.016555824421176858,0.8004420111542119,,,,-2826.3932311019635,103.60585906759334,,20580.29999999948,,103.33600000000001,,,,,,0.8699999999999903,,-74895.2,,103.71,104.61999999999999,105.39,106.3,102.93999999999998,102.02999999999999,101.25999999999998,0.002219648716463904,,0.57164200111562,0.545289372932594,0.42770316809668296,,0.5036189233014263,,0.6249999999999958,-0.001317762878476043,,
