,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,65.8,67.84,65.58,66.6,2514179,RRC,-0.0,,,,,,,,,,,,,,,,,,,,,,,66.67333333333333,67.76666666666667,68.93333333333332,70.02666666666667,65.50666666666666,64.41333333333333,63.246666666666655,,,,,,,,,0.4513274336283158,0.0,0.0,
1,2012-08-14,66.72,67.12,64.9,66.22,1689663,RRC,0.0,,,,,,,,,,,,,,,,,,,-0.37999999999999545,,,,66.08,67.25999999999999,68.29999999999998,69.47999999999999,65.03999999999999,63.86,62.81999999999999,,,,,,,,,0.5945945945945919,,,
2,2012-08-15,66.37,67.0,65.74,66.63,1365642,RRC,0.0,,,,,,,,,,,-34456.1100000013,,,,,,,,0.4099999999999966,,,,66.45666666666666,67.17333333333333,67.71666666666665,68.43333333333334,65.91333333333333,65.19666666666666,64.65333333333332,,,,,,,,,0.706349206349204,,,
3,2012-08-16,67.27,69.68,67.18,68.91,3240024,RRC,0.0,,,,,,,,,67.49769230769229,,4170471.0899999966,,,,,,,,2.280000000000001,,,,68.59,70.0,71.09,72.5,67.5,66.09,65.0,,,,,,,0.6483698510530337,,0.691999999999996,,,
4,2012-08-17,68.99,69.8,68.64,69.66,1949281,RRC,0.0,,,0.09263596497459317,0.8283001547118389,,,,,68.32777251184832,,1768426.1700000006,,67.604,,,,,,0.75,,973056.8,,69.36666666666666,70.09333333333332,70.52666666666666,71.25333333333332,68.93333333333332,68.20666666666666,67.77333333333333,0.04594594594594598,,0.8914098829781806,,1.565640444035599,,0.7370247325494256,,0.8793103448275854,,,
5,2012-08-20,69.57,70.0,67.74,67.95,1768519,RRC,-0.0,,,0.08617145868300116,0.5129941149266336,,,,,68.18972932330826,,1412644.7999999907,,67.874,,,,,,-1.7099999999999937,,619353.0,,68.56333333333333,69.38666666666667,70.82333333333334,71.64666666666668,67.12666666666667,66.30333333333333,64.86666666666666,0.02612503775294479,,0.5743164271486644,,1.462200396662505,,0.5016602754188836,,0.0929203539823042,,,
6,2012-08-21,68.58,69.21,66.8,67.13,1670697,RRC,-0.0,,,0.07319993080453448,0.3141194724598438,,,,,67.81452646915979,,704817.5200000004,,68.056,,,,,,-0.8200000000000074,,623146.2,,67.71333333333332,68.62666666666665,70.12333333333332,71.03666666666665,66.21666666666665,65.30333333333333,63.80666666666666,0.0075041272699984994,,0.37780407553655737,,1.2454236227083495,,0.37252537303088895,,0.13692946058091235,,,
7,2012-08-22,67.08,67.3,66.14,67.0,1304923,RRC,0.0,,,0.06731729791340497,0.2536155020951608,,,,,67.53199365582871,,440416.2000000013,,68.13,,,,,,-0.12999999999999545,,89033.2,,66.81333333333333,67.48666666666666,67.97333333333334,68.64666666666666,66.32666666666667,65.65333333333334,65.16666666666667,-0.027717312436511342,,0.2827148430219512,,1.1465818767100702,,0.5004688402641304,,0.7413793103448293,,,
8,2012-08-23,66.92,66.97,65.59,65.66,1106911,RRC,-0.0,,,0.08711172308404992,0.19038662763192737,,,,-345689.5928463985,66.89133065567786,,828765.4199999993,,67.47999999999999,,,,,,-1.3400000000000034,,-780353.8,,66.07333333333334,66.55666666666667,67.45333333333335,67.93666666666667,65.17666666666668,64.69333333333334,63.79666666666668,-0.05742176284811944,,0.21854255667780442,,1.469574768427922,,0.3465503324582307,,0.05072463768115464,,,
9,2012-08-24,65.71,66.44,65.5,66.27,1436908,RRC,0.0,,,0.05230271785799217,0.34773576318187144,,,,141895.48536707144,66.68056544592848,,-96349.05000000053,,66.80199999999999,,,,,,0.6099999999999994,,-882828.4,,66.07,66.63999999999999,67.00999999999999,67.57999999999998,65.69999999999999,65.13,64.75999999999999,-0.024724061810154626,,0.20773999215707895,,0.8734815395873982,,0.5068632719991681,,0.8191489361702106,,,
