,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,46.58,46.69,46.09,46.6,326154,SIG,0.0,,,,,,,,,,,,,,,,,,,,,,,46.46,46.83,47.06,47.42999999999999,46.230000000000004,45.86000000000001,45.63000000000001,,,,,,,,,0.8500000000000048,0.0,0.0,
1,2012-08-14,46.94,47.34,46.72,46.96,584930,SIG,-0.0,,,,,,,,,,,,,,,,,,,0.35999999999999943,,,,47.00666666666667,47.29333333333334,47.626666666666665,47.91333333333334,46.67333333333333,46.38666666666666,46.05333333333333,,,,,,,,,0.38709677419354876,,,
2,2012-08-15,46.78,46.98,46.42,46.47,572197,SIG,-0.0,,,,,,,,,,,-31985.59000000063,,,,,,,,-0.490000000000002,,,,46.623333333333335,46.82666666666667,47.18333333333332,47.38666666666666,46.26666666666667,46.06333333333334,45.70666666666668,,,,,,,,,0.08928571428570999,,,
3,2012-08-16,46.66,47.24,46.33,47.06,526067,SIG,0.0,,,,,,,,,46.82153846153846,,-5886.300000000084,,,,,,,,0.5900000000000034,,,,46.876666666666665,47.42333333333333,47.786666666666676,48.333333333333336,46.51333333333333,45.96666666666666,45.603333333333325,,,,,,,0.5340253047200937,,0.8021978021978033,,,
4,2012-08-17,47.0,47.57,46.97,47.5,321781,SIG,0.0,,,0.034695798789800274,0.857525154644197,,,,,47.081990521327015,,-257928.48000000027,,46.918,,,,,,0.4399999999999977,,172116.2,,47.346666666666664,47.72333333333333,47.94666666666666,48.32333333333333,47.12333333333333,46.74666666666666,46.523333333333326,0.019313304721030013,,0.8309940767447871,,0.4069643719049623,,0.6681198559886832,,0.8833333333333331,,,
5,2012-08-20,47.05,48.79,47.05,48.68,618213,SIG,0.0,,,0.07071175816069256,0.9021427262996191,,,,,47.665924812030084,,149276.51999999976,,47.333999999999996,,,,,,1.1799999999999997,,295758.8,,48.17333333333334,49.29666666666668,49.91333333333334,51.03666666666668,47.55666666666668,46.43333333333334,45.81666666666668,0.03662691652470185,,0.9414378840001613,,0.8367675901945553,,0.766292496634146,,0.9367816091954027,,,
6,2012-08-21,48.68,49.0,48.04,48.4,591113,SIG,-0.0,,,0.07723959424192363,0.7115105247139176,,,,,47.925828071879565,,242398.7999999996,,47.622,,,,,,-0.28000000000000114,,60550.2,,48.48,48.919999999999995,49.43999999999999,49.879999999999995,47.959999999999994,47.519999999999996,46.99999999999999,0.0415321712933075,,0.9494055294263228,,0.9195759892472218,,0.6277532882580931,,0.37499999999999906,,,
7,2012-08-22,48.41,48.5,47.24,47.5,721291,SIG,-0.0,,,0.05700067248471517,0.37968725274739934,,,,,47.778122125297386,,-121632.03999999996,,47.828,,,,,,-0.8999999999999986,,30731.4,,47.74666666666667,48.25333333333334,49.00666666666667,49.513333333333335,46.99333333333334,46.48666666666667,45.73333333333334,0.009349766255843555,,0.5501808204146921,,0.6815570408997393,,0.481581880306509,,0.2063492063492051,,,
8,2012-08-23,48.01,48.41,46.48,46.88,1243665,SIG,-0.0,,,0.06151059323380176,0.18976576780289509,,,,-277301.3637071805,47.47075269938971,,-991879.0399999974,,47.79200000000001,,,,,,-0.6199999999999974,,-323215.0,,47.25666666666666,48.033333333333324,49.18666666666666,49.963333333333324,46.103333333333325,45.32666666666666,44.173333333333325,-0.013052631578947314,,0.3528463581668861,,0.7349285679574635,,0.3876970558019451,,0.20725388601036568,,,
9,2012-08-24,46.67,46.73,45.8,46.54,874092,SIG,0.0,,,0.07813770552005625,0.21500433222588727,,,,60800.903678461706,47.155026626454124,,-146688.96000000014,,47.60000000000001,,,,,,-0.3400000000000034,,-562389.6,,46.35666666666666,46.91333333333333,47.28666666666666,47.84333333333333,45.98333333333333,45.42666666666666,45.05333333333333,-0.043960558751027126,,0.24346255462998923,,0.9298386956886695,,0.5260977587081791,,0.7956989247311852,,,
