,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,77.3,78.37,77.3,77.91,802815,SJM,0.0,,,,,,,,,,,,,,,,,,,,,,,77.86,78.42,78.93000000000002,79.49000000000001,77.35,76.78999999999999,76.27999999999999,,,,,,,,,0.5700934579439207,0.0,0.0,
1,2012-08-14,78.07,78.49,77.66,77.84,525693,SJM,-0.0,,,,,,,,,,,,,,,,,,,-0.06999999999999318,,,,77.99666666666666,78.33333333333331,78.82666666666665,79.16333333333331,77.50333333333332,77.16666666666666,76.67333333333332,,,,,,,,,0.21686746987952674,,,
2,2012-08-15,78.28,79.04,77.71,78.97,530435,SJM,0.0,,,,,,,,,,,-288722.8000000006,,,,,,,,1.1299999999999955,,,,78.57333333333334,79.43666666666668,79.90333333333335,80.7666666666667,78.10666666666667,77.24333333333333,76.77666666666666,,,,,,,,,0.9473684210526265,,,
3,2012-08-16,79.01,79.49,78.61,78.97,707156,SJM,-0.0,,,,,,,,,78.63092307692307,,205053.1899999992,,,,,,,,0.0,,,,79.02333333333333,79.43666666666665,79.90333333333332,80.31666666666665,78.55666666666666,78.14333333333333,77.67666666666666,,,,,,,0.5424806681001161,,0.40909090909091056,,,
4,2012-08-17,81.63,84.1,81.63,82.96,2462636,SJM,0.0,,,0.1059846000495524,0.9317440940864605,,,,,80.2927962085308,,7709481.98999999,,79.33,,,,,,3.989999999999995,,493475.6,,82.89666666666666,84.16333333333333,85.36666666666667,86.63333333333333,81.69333333333333,80.42666666666666,79.22333333333333,0.06481838018226155,,1.0,,2.101939580482748,,0.5409377794710886,,0.538461538461538,,,
5,2012-08-20,83.16,84.78,83.13,84.25,1467153,SJM,0.0,,,0.13998437584685833,0.8236882528709354,,,,,81.7388120300752,,4012784.160000001,,80.598,,,,,,1.2900000000000063,,786906.2,,84.05333333333333,84.97666666666666,85.70333333333332,86.62666666666667,83.32666666666665,82.40333333333332,81.67666666666665,0.08234840698869471,,1.0,,2.820615181126272,,0.5913100714018857,,0.6787878787878792,,,
6,2012-08-21,84.42,84.64,83.94,84.12,876298,SJM,-0.0,,,0.1309742789498483,0.711365442010977,,,,,82.58188440990773,,-1840152.080000017,,81.854,,,,,,-0.12999999999999545,,716785.2,,84.23333333333333,84.52666666666667,84.93333333333334,85.22666666666667,83.82666666666667,83.53333333333333,83.12666666666667,0.06521463847030526,,1.0,,2.6801921572902208,,0.47299637582402004,,0.25714285714286583,,,
7,2012-08-22,84.12,84.39,83.7,83.91,663529,SJM,-0.0,,,0.10732535649089786,0.6201208336979542,,,,,83.04256463124504,,273232.16000000277,,82.84199999999998,,,,,,-0.21000000000000796,,477992.4,,84.0,84.3,84.68999999999998,84.99,83.61,83.31,82.92,0.06255540078510824,,0.904088537670996,,2.2227617956047396,,0.41449766396438875,,0.30434782608694844,,,
8,2012-08-23,84.07,84.12,83.48,83.9,524525,SJM,0.0,,,0.024198087290593365,0.535494605421648,,,,-14864.020139812583,83.33600959783006,,77390.0599999996,,83.82799999999997,,,,,,-0.009999999999990905,,373087.4,,83.83333333333334,84.18666666666668,84.47333333333334,84.82666666666668,83.54666666666668,83.19333333333334,82.90666666666668,0.011330761812922035,,0.8050035655879687,,0.507119315348965,,0.4972339362887151,,0.6562500000000021,,,
9,2012-08-24,84.15,84.73,83.46,84.4,704118,SJM,0.0,,,0.010301646810064033,0.8277427335305608,,,,85519.7419798233,83.69693201206377,,19888.610000000368,,84.11599999999997,,,,,,0.5,,21383.8,,84.19666666666667,84.93333333333335,85.46666666666668,86.20333333333336,83.66333333333334,82.92666666666666,82.39333333333333,0.0017804154302671297,,0.8632020436363645,,0.21663333076883648,,0.5796374540322508,,0.7401574803149641,,,
10,2012-08-27,84.4,85.51,84.39,84.96,769583,SJM,0.0,,,0.02098080768314025,0.8971035439995295,,,,21531.503556250784,84.12287905699061,,259761.47999999707,,84.25799999999997,,,,,,0.5599999999999881,,-118130.2,,84.95333333333333,85.51666666666667,86.07333333333334,86.63666666666667,84.39666666666666,83.83333333333333,83.27666666666666,0.009985734664764493,,0.910839620966459,0.9222696439071377,0.44195022344150764,,0.5557921504676094,,0.5089285714285633,0.004065819060425038,,
11,2012-08-28,84.94,85.5,84.58,84.58,896534,SJM,-0.0,,,0.02151805819473798,0.6267183972823801,,,,-279738.7752242509,84.276436222966,,34634.87999999858,,84.34999999999997,,,,,,-0.37999999999999545,,-122177.4,,84.88666666666666,85.19333333333331,85.80666666666666,86.11333333333332,84.27333333333331,83.96666666666665,83.35333333333331,0.00798474556071984,,0.910839620966459,0.9222696439071377,0.453762052181537,,0.3690891153029912,,0.0,0.003774725648672601,,
12,2012-08-29,84.52,85.47,84.52,85.03,897749,SJM,0.0,,,0.021693286167998215,0.7485436237028787,,,,-82541.22086721007,84.52892147622107,,8971.620000000947,,84.57399999999998,,,,,,0.45000000000000284,,190078.2,,85.00666666666667,85.49333333333335,85.95666666666669,86.44333333333336,84.54333333333335,84.05666666666667,83.59333333333335,0.013468414779499348,,0.86540348245116,0.90285439531112,0.4586719960930702,,0.4252955804294044,,0.5368421052631617,0.0035580032885642867,,
13,2012-08-30,84.63,84.96,84.37,84.43,850883,SJM,-0.0,,1.096053494862467,0.014008675131164158,0.28925266307085146,,,,-222856.0436560234,84.49583431114729,,6847.64999999961,,84.67999999999998,,,,,0.6428571428571429,-0.5999999999999943,,124806.6,,84.58666666666666,84.80333333333331,85.17666666666665,85.3933333333333,84.21333333333332,83.99666666666667,83.62333333333333,0.00035545023696683807,,0.736768625239851,0.8499869900523331,0.29656365252674516,,0.3170579253148814,,0.101694915254243,0.0029961678609679407,,
14,2012-08-31,84.82,85.36,84.71,84.97,812586,SJM,-0.0,,1.0709824468118099,0.01275682668608876,0.6627064950392776,,,,-99826.5972421187,84.6542513110553,,5109.7800000001935,,84.79399999999998,,,,,0.7142857142857143,0.539999999999992,,146500.2,,85.01333333333334,85.31666666666668,85.66333333333334,85.96666666666668,84.66666666666667,84.36333333333333,84.01666666666667,0.00011770244821098301,,0.8307115569180062,0.8733575438293292,0.2704255905050525,,0.34476856517487636,,0.40000000000000435,0.002631386393710109,,
15,2012-09-04,85.63,86.06,85.0,86.04,1135862,SJM,0.0,,1.0738039551955878,0.02961181203416233,0.9091685306865989,,,,349421.0049665478,85.11687185218369,,458816.1899999998,,85.00999999999999,,,,,0.7142857142857143,1.0700000000000074,,219756.0,,85.7,86.4,86.75999999999999,87.46000000000001,85.34,84.64,84.28,0.017261764010404447,,0.9096822210723117,0.904218556453783,0.6293250352560349,,0.5572131691903937,,0.9811320754717019,0.002800368894476687,,
16,2012-09-05,86.1,86.39,85.74,85.99,1256490,SJM,-0.0,,1.0118580198907234,0.032845815789589214,0.7491535454195626,,,,68420.89839415044,85.40821026473242,,452782.0799999982,,85.292,,,,,0.7142857142857143,-0.05000000000001137,,147764.8,,86.04,86.34000000000002,86.69000000000001,86.99000000000002,85.69000000000001,85.39,85.04,0.011290132894272536,,0.9309434099136003,0.9156681261428277,0.7003713300814108,,0.4996221217670872,,0.38461538461538125,0.002941968213037668,,
17,2012-09-06,86.36,86.75,86.18,86.62,555807,SJM,0.0,,0.9755112614384377,0.041472218115539985,0.7844720567684305,,,,133040.05642150494,85.81241367647648,,-336431.89999999903,,85.60999999999999,,,,,0.7142857142857143,0.6300000000000097,,79376.4,,86.51666666666667,86.85333333333332,87.08666666666664,87.42333333333332,86.28333333333333,85.94666666666667,85.71333333333334,0.025938647400213167,,0.9492054103445576,0.9269294487143742,0.8876091482178443,,0.5904528156657665,,0.7719298245614088,0.003205439658000264,,
18,2012-09-07,87.06,87.06,85.85,86.1,676650,SJM,-0.0,,1.0089838142220715,0.02793795666983352,0.5649702287994725,,,,-72518.35678028375,85.90831904655776,84.61405807649803,-63782.399999999674,,85.94399999999999,,,,,0.6428571428571429,-0.5200000000000102,,114223.0,,86.33666666666666,86.82333333333332,87.54666666666665,88.03333333333333,85.61333333333332,85.12666666666665,84.40333333333331,0.013298811345180598,,0.7086916164354137,0.8097831691519137,0.6002749370080429,,0.4624479917811155,0.476150584649043,0.20661157024793253,0.003082547001151107,,
19,2012-09-10,85.34,86.28,84.86,85.85,936957,SJM,0.0,,1.0671079635017349,0.013672258271747076,0.2706918506650894,0.13439748614980526,0.701169885358344,,91615.96239629306,85.88887351654365,84.75015480166574,-293485.5000000039,,86.11999999999998,83.58999999999999,,,,0.5714285714285714,-0.25,,-235685.6,106418.5,85.66333333333334,86.46666666666668,87.08333333333333,87.88666666666668,85.04666666666668,84.24333333333334,83.62666666666668,-0.002208275220827661,0.1019124630984469,0.3433227014194858,0.5592123485531313,0.2943637205907145,2.8085714668155553,0.5407165649877186,0.5004897552291018,0.6971830985915448,0.002654566731951614,,
20,2012-09-11,85.91,86.25,85.9,86.01,559135,SJM,-0.0,,0.973524786732234,0.01378166152610463,0.4123689537171369,0.11977283329653907,0.7002918568896999,,-31864.8414236547,85.92925710736455,84.88684994584179,10576.34999999873,,86.11399999999998,83.99499999999998,,,,0.5714285714285714,0.1600000000000108,,-351031.0,134375.25,86.05333333333334,86.20666666666668,86.40333333333334,86.55666666666667,85.85666666666668,85.70333333333335,85.50666666666669,0.00023258518432387758,0.10495889003083249,0.3433227014194858,0.5592123485531313,0.2966985001647434,2.515079783185699,0.4652244796646208,0.4802863300332343,0.3142857142857178,0.002220712023285579,,
21,2012-09-12,86.21,86.38,86.0,86.13,346278,SJM,-0.0,,0.8908385496098631,0.013399522518326077,0.4896037438263704,0.0992978162153282,0.7052691347808137,,-48304.562125442804,85.9961803496817,85.01996803671962,-165390.12000000066,,86.14199999999997,84.4095,,,,0.6428571428571429,0.11999999999999034,,-30477.4,177973.8,86.17,86.34,86.55000000000001,86.72,85.96000000000001,85.79,85.58000000000001,-0.005656892172708486,0.09066734202861843,0.4202498131039544,0.5828839759110384,0.2885654171934111,2.095419754456936,0.4241792548399524,0.4654897254267502,0.34210526315788686,0.0018677769253402298,,
22,2012-09-13,86.1,87.54,86.01,87.04,486506,SJM,0.0,,0.979353241445514,0.02170572968116332,0.9349223991273663,0.08204549950552939,0.8200390910634081,0.062147496683089415,37310.35786900325,86.34415123899349,85.23374384672628,-74807.87000000008,,86.22599999999996,84.81299999999999,,,,0.7142857142857143,0.9100000000000108,,-44337.6,175777.35,86.86333333333334,87.71666666666668,88.39333333333336,89.24666666666668,86.18666666666668,85.33333333333334,84.65666666666668,0.010917537746806179,0.1021907053311385,0.7646567347702456,0.733697268410152,0.4678995618719969,1.7396312373906158,0.5071944384033368,0.48747155140365384,0.6732026143790852,0.0019557498773000517,,
23,2012-09-14,86.91,86.94,85.79,86.11,1148154,SJM,-0.0,,1.0166418122667522,0.02167496673395563,0.4368642629737608,0.05109946740121997,0.7159856176718137,0.056281672353970136,-145744.9465204365,86.26609618927655,85.3255044948924,-16037.51999999681,,86.22799999999995,85.16999999999999,,,,0.6428571428571429,-0.9300000000000068,,-138638.4,118369.65,86.28000000000002,86.77000000000002,87.43000000000002,87.92000000000002,85.62000000000003,85.13000000000002,84.47000000000004,0.0030285381479325,0.037970106075217044,0.6604773828635812,0.678695919107334,0.4672472578838813,1.088035409640476,0.4308787153930776,0.465563222775036,0.2782608695652135,0.0016739332626060034,,
24,2012-09-17,86.22,87.35,86.16,87.02,921173,SJM,0.0,,1.0472790582903346,0.02408215347284079,0.7679869228354317,0.04831829872773045,0.8992651661794494,0.055620923292164545,84184.9524421252,86.51740741197692,85.50128378837653,-8693.340000004448,,86.46199999999995,85.37299999999998,0.7220382722438501,,,0.6428571428571429,0.9099999999999966,,232987.6,41296.5,86.84333333333332,87.52666666666664,88.03333333333333,88.71666666666664,86.33666666666664,85.65333333333332,85.14666666666665,0.011742820602255444,0.032878338278931704,0.7495168967274884,0.724228085910185,0.5205477883921897,1.0312695293206326,0.5281526877284437,0.49223629485764636,0.722689075630253,0.001687797387477708,,
