,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,44.44,44.5,44.2,44.27,6283804,VZ,-0.0,,,,,,,,,,,,,,,,,,,,,,,44.32333333333333,44.44666666666666,44.62333333333332,44.746666666666655,44.14666666666666,44.02333333333333,43.846666666666664,,,,,,,,,0.2333333333333365,0.0,0.0,
1,2012-08-14,44.34,44.44,44.04,44.33,8920405,VZ,0.0,,,,,,,,,,,,,,,,,,,0.05999999999999517,,,,44.27,44.50000000000001,44.67000000000001,44.900000000000006,44.10000000000001,43.870000000000005,43.70000000000001,,,,,,,,,0.7250000000000004,,,
2,2012-08-15,44.15,44.32,43.96,44.19,7008264,VZ,0.0,,,,,,,,,,,-57956.80000000391,,,,,,,,-0.14000000000000057,,,,44.156666666666666,44.35333333333333,44.51666666666666,44.71333333333333,43.99333333333333,43.79666666666667,43.63333333333333,,,,,,,,,0.6388888888888812,,,
3,2012-08-16,44.11,44.2,43.78,44.12,8713873,VZ,0.0,,,,,,,,,44.19661538461537,,43371.720000000176,,,,,,,,-0.07000000000000028,,,,44.03333333333333,44.28666666666666,44.45333333333333,44.70666666666666,43.86666666666666,43.61333333333333,43.44666666666666,,,,,,,0.675750915750909,,0.8095238095237974,,,
4,2012-08-17,44.19,44.23,43.97,44.06,9489673,VZ,-0.0,,,0.009885915677902035,0.193292366403614,,,,,44.14417061611374,,-322583.1699999887,,44.194,,,,,,-0.05999999999999517,,-3258281.0,,44.086666666666666,44.20333333333333,44.346666666666664,44.46333333333333,43.943333333333335,43.82666666666667,43.68333333333334,-0.004743618703410907,,0.11641588414977011,,0.10922453936730064,,0.5492231307397203,,0.3461538461538619,,,
5,2012-08-20,43.93,44.06,43.64,43.7,9232915,VZ,-0.0,,,0.021329690151620458,0.09583615167905378,,,,,43.981864661654136,,-217997.6399999972,,44.08,,,,,,-0.35999999999999943,,-5104864.0,,43.800000000000004,43.96000000000001,44.22000000000001,44.38000000000001,43.540000000000006,43.38,43.120000000000005,-0.014211594856756046,,0.04168422076027348,,0.23505318547085743,,0.4007314990773667,,0.14285714285714768,,,
6,2012-08-21,43.71,43.75,42.83,42.89,20207633,VZ,-0.0,,,0.04918602719147919,0.08123535161010079,,,,,43.59528411850413,,-12540013.200000018,,43.79200000000001,,,,,,-0.8100000000000023,,-10930471.6,,43.156666666666666,43.483333333333334,44.07666666666667,44.403333333333336,42.56333333333333,42.236666666666665,41.64333333333333,-0.029418420457116932,,0.013002228448014047,,0.5384886256923143,,0.2819409286225202,,0.06521739130435018,,,
7,2012-08-22,42.78,43.16,42.58,42.62,13558197,VZ,-0.0,,,0.06310728222800815,0.18729253252563102,,,,,43.25698969072165,,-4671304.560000024,,43.47800000000001,,,,,,-0.2700000000000031,,-12240458.2,,42.78666666666666,42.993333333333325,43.36666666666666,43.57333333333332,42.41333333333333,42.20666666666666,41.83333333333333,-0.03399818676337262,,0.010022394060663017,,0.6859446041773347,,0.2080666661815118,,0.06896551724137805,,,
8,2012-08-23,42.54,42.56,42.18,42.25,15987215,VZ,-0.0,,,0.07003882379947013,0.21712051509985353,,,,-3300735.932048048,42.91236190078765,,2701067.5200000023,,43.104000000000006,,,,,,-0.36999999999999744,,-13695126.6,,42.330000000000005,42.48000000000001,42.710000000000015,42.860000000000014,42.10000000000001,41.95,41.720000000000006,-0.04108034498411262,,0.00662260896141709,,0.7547383652630902,,0.19990224420774896,,0.184210526315789,,,
9,2012-08-24,42.21,43.24,42.19,43.17,12798091,VZ,0.0,,,0.05126200150246379,0.6108852668821464,,,,3687512.6799235865,42.99975682895304,,-418058.30000000325,,42.92600000000001,,,,,,0.9200000000000017,,-9237573.8,,42.866666666666674,43.54333333333335,43.916666666666686,44.593333333333355,42.49333333333335,41.81666666666667,41.44333333333334,-0.01212814645308927,,0.45036523171110315,,0.5501181691236903,,0.44869369836128403,,0.9333333333333333,,,
